# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 3.577130933205146276e-04 -2.328628011640591012e+03 -2.777999317590995165e+00 2.784799853153930194e+00 1.205995446732242193e+01
-9.995801847187237854e-01 3.518399768733021429e-04 -2.330389457477657743e+03 -2.784350352274663543e+00 2.808603747952554297e+00 1.202880335916988486e+01
-9.991603694374474598e-01 3.414818064914593144e-04 -3.479793754300834280e+03 -2.843976816925684492e+00 2.881735506684743875e+00 1.189510277704068741e+01
-9.987405541561712452e-01 3.228675337414063889e-04 -2.831758819149595183e+03 -3.062358622362049143e+00 2.996992555653337220e+00 1.113147892334765210e+01
-9.983207388748950306e-01 2.953903585699300168e-04 -4.963240721969668812e+02 -4.392437546659889946e+00 3.083238650114551227e+00 9.959067527997053304e+00
-9.979009235936188160e-01 2.665716517199838670e-04 -8.680884128104762567e+02 -5.422816456096958504e+00 3.002173193358488312e+00 9.356495124046800171e+00
-9.974811083123424904e-01 2.441093522488190382e-04 -1.961737474459378973e+03 -5.601065756174564036e+00 2.930816966722064709e+00 9.217364464112506539e+00
-9.970612930310662758e-01 2.290758281360828459e-04 -2.118120615270531744e+03 -5.705109968188896374e+00 2.898347330700373536e+00 9.129035571789289705e+00
-9.966414777497900612e-01 2.225022523469255737e-04 -2.355543080697972982e+03 -5.782298469899235904e+00 2.902507040313486275e+00 9.045656524902771167e+00
-9.962216624685138466e-01 2.246581293070112006e-04 -3.862841004271280326e+03 -5.876829317802003239e+00 2.944583199446923594e+00 8.851988130454538251e+00
-9.958018471872376320e-01 2.356233056410645581e-04 -3.862012522118805464e+03 -6.178152901980014100e+00 3.028541788771581533e+00 7.878823597887180341e+00
-9.953820319059613064e-01 2.536488533875439345e-04 -1.479380225502236499e+03 -7.839592800609063161e+00 3.059014682216254499e+00 6.741152186593428297e+00
-9.949622166246850918e-01 2.701042410415090329e-04 -1.478100253625509140e+03 -8.466236803396375521e+00 2.920380369895203554e+00 6.385139438859891214e+00
-9.945424013434088772e-01 2.743069463157149566e-04 -2.128642362779862196e+03 -8.555939523047410233e+00 2.804491933865586706e+00 6.330886353021954349e+00
-9.941225860621326627e-01 2.716428996832600737e-04 -2.365706350738515539e+03 -8.578180617917206874e+00 2.751837021149063922e+00 6.297657976280682135e+00
