# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 7.831101631526119194e-04 2.924607115546975911e+04 -2.458697553893389731e+00 2.804852489434102480e+00 3.415720697606160172e+01
-9.996114996114996432e-01 7.117212218708791026e-04 2.924397020619157047e+04 -1.893777841509581839e+00 2.932592490307356137e+00 3.437249815237635175e+01
-9.992229992229991753e-01 3.922772555069682968e-04 2.952682753025512648e+04 -1.998670059322253501e+00 3.068922395773661549e+00 3.320486294459674070e+01
-9.988344988344988185e-01 3.373474729212422004e-04 3.036664109718198961e+04 -4.237239135364979425e+00 7.586742787626831186e-01 3.211419591542614427e+01
-9.984459984459984616e-01 3.825148648711853335e-04 2.889465025627346768e+04 -4.307961570179815070e+00 6.133602183647588468e-01 3.231920186264693484e+01
-9.980574980574981048e-01 2.171077786616161358e-04 2.921864544201209355e+04 -4.746602995952534876e+00 1.614046182586108102e+00 3.249245742093468436e+01
-9.976689976689976369e-01 1.083819580837159591e-03 2.855592958580302002e+04 -5.028172941677847341e+00 1.939461810060104874e+00 3.244859524060917977e+01
-9.972804972804972801e-01 8.226263356135692919e-04 3.124232207136513898e+04 -5.237818882799805564e+00 2.238431189041105274e+00 3.265730654811919464e+01
-9.968919968919969232e-01 9.251849709726140628e-04 2.989423290695228934e+04 -4.441584506672810129e+00 2.520939165679781269e+00 3.311627707833916645e+01
-9.965034965034964554e-01 5.443864257684826466e-04 2.717593040208574530e+04 -3.919188823673836364e+00 2.708271282473507569e+00 3.356633494901639381e+01
-9.961149961149960985e-01 9.526625396562780597e-04 2.762424325991777368e+04 -3.395654142737654979e+00 2.629693007503900226e+00 3.387799170255769354e+01
-9.957264957264957417e-01 9.114168688457476974e-04 2.669102296288578509e+04 -3.225703158795651060e+00 2.660468843372802095e+00 3.386389854817171852e+01
-9.953379953379953848e-01 5.472992024369036177e-04 2.605623458081572608e+04 -3.424639553996801311e+00 2.756027478289853949e+00 3.344140550860207384e+01
-9.949494949494949170e-01 8.752037644742295414e-04 2.661898950003904611e+04 -4.146249675854811301e+00 5.427387464032631392e-01 3.327688368204181302e+01
-9.945609945609945601e-01 1.141200952027860175e-03 2.769662506094427226e+04 -4.542829429570167221e+00 5.269976680041162931e-01 3.328650200068616982e+01
-9.941724941724942033e-01 4.110525745593196847e-04 2.943275527400130159e+04 -4.172187525125234941e+00 9.135766423408092640e-01 3.291769291294309596e+01
-9.937839937839937354e-01 3.748726300863528828e-04 2.864459917602163478e+04 -3.489175123806500078e+00 2.273222722778766247e+00 3.273919090966779777e+01
-9.933954933954933786e-01 1.064747898860563945e-04 2.700607391193134390e+04 -3.395902794675637271e+00 2.394167512999085368e+00 3.282545690628440838e+01
-9.930069930069930217e-01 6.954971174538979520e-04 2.762488028776616557e+04 -3.242828036301565131e+00 2.250024566642557122e+00 3.290141418997966127e+01
-9.926184926184926649e-01 6.181262516682807084e-04 2.972075794177407806e+04 -3.179721326148175820e+00 1.904680880236815366e+00 3.256012030475835672e+01
-9.922299922299921970e-01 7.812687444046027396e-04 3.295357654201052355e+04 -5.383556327533035812e+00 2.330840034223541357e-01 3.210954876183308215e+01
