# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 4.365655612756153187e-04 4.247698765821954294e+04 1.506948442350300343e+00 2.486206147472365749e-02 5.255218964100305357e+01
-9.995002498750624742e-01 4.388782871075669638e-04 4.247909516591110878e+04 1.405371895888237965e+00 2.115645285863352112e-02 5.286002383772277824e+01
-9.990004997501249484e-01 4.444189291967136856e-04 4.128471307200649608e+04 8.911335760880246815e-01 1.267735936012578252e-02 5.380011678526300045e+01
-9.985007496251874226e-01 4.526477176109114809e-04 4.128162016351694183e+04 -4.750388613100748891e-01 1.381893201602742149e-02 5.478297149957369072e+01
-9.980009995002498968e-01 4.634463300640555760e-04 4.196501847793615161e+04 -1.074742893259430954e+00 2.796582150882492845e-02 5.521961114956680916e+01
-9.975012493753122600e-01 4.769236225697375984e-04 4.224452614890788391e+04 -1.348482458115171090e+00 4.240721708889116232e-02 5.545395753407514405e+01
-9.970014992503747342e-01 4.922047662287649993e-04 4.227899569705907197e+04 -1.543718226368813395e+00 5.359052147168195945e-02 5.562657772103504783e+01
-9.965017491254372084e-01 5.096851783176621327e-04 4.227625355391684570e+04 -1.694114271830887919e+00 5.948371078761328229e-02 5.575384697963198732e+01
-9.960019990004996826e-01 5.282168011160866348e-04 4.225230765073045768e+04 -1.798657555231110150e+00 5.861744116206345223e-02 5.583049728049682159e+01
-9.955022488755621568e-01 5.478272103360842414e-04 4.206017890989305306e+04 -1.847683975785122890e+00 5.023030578121386730e-02 5.583598761855586190e+01
-9.950024987506246310e-01 5.664799237134393378e-04 4.109898085603002983e+04 -1.809674494264349232e+00 3.524070664278864534e-02 5.565999436717407889e+01
-9.945027486256871052e-01 5.832445398247290951e-04 4.109867714532255923e+04 -1.495454436636590945e+00 1.747168798268152953e-02 5.480312958846468518e+01
-9.940029985007495794e-01 5.958017249644055342e-04 4.268191730612719402e+04 -9.553617692428137409e-02 1.172469693639014224e-02 5.378775911866959092e+01
-9.935032483758120536e-01 6.036412503857596819e-04 4.267989493523265992e+04 5.355435432590266442e-01 2.156204786662948777e-02 5.339224290444790455e+01
-9.930034982508745278e-01 6.063084587393944083e-04 4.068844233746342070e+04 6.955768278679314021e-01 2.433519642903061997e-02 5.326699935217072124e+01
-9.925037481259370020e-01 6.049353003884664010e-04 4.050268293385872676e+04 7.860946489470668208e-01 1.558923267741990984e-02 5.242675223417853658e+01
-9.920039980009994762e-01 5.995378687237826101e-04 3.724851870702853921e+04 2.376291089113367061e+00 2.631841268794251395e-03 5.079546104566080089e+01
-9.915042478760619504e-01 5.923658723755498073e-04 3.724100101176253520e+04 4.048876042809146369e+00 2.429309345022877958e-02 4.990640598894377433e+01
-9.910044977511244246e-01 5.810060336714059550e-04 3.723938095930024429e+04 4.154438142634319320e+00 4.149788002624407030e-02 4.976985174978363347e+01
-9.905047476261868988e-01 5.659755390241061942e-04 3.719053192907451739e+04 4.322160062625362009e+00 4.902674615080130499e-02 4.955105038981740506e+01
-9.900049975012493730e-01 5.466090208822838416e-04 3.734380204767715622e+04 4.592510101179825277e+00 4.751188517605641620e-02 4.922196169192241655e+01
-9.895052473763118472e-01 5.228870975149512833e-04 3.768195425249241089e+04 4.981100818776194927e+00 4.353472496260557545e-02 4.884708225136737525e+01
-9.890054972513743214e-01 4.947416857119324787e-04 3.799176112957471196e+04 5.343050440469943929e+00 4.154592245680079760e-02 4.857989740822989688e+01
-9.885057471264367956e-01 4.639822868524403916e-04 3.799187703900611086e+04 5.515962654706025425e+00 3.740620913955226140e-02 4.856285108332854605e+01
-9.880059970014992698e-01 4.326678441025738316e-04 3.760223611853420880e+04 5.377195225482250152e+00 2.840283112729697149e-02 4.897542331724452680e+01
-9.875062468765616330e-01 4.028787428980605198e-04 3.760146194471175113e+04 4.690444125219196181e+00 2.332498946926650496e-02 4.962814220707868884e+01
-9.870064967516241072e-01 3.743797701159783001e-04 3.747083911442130920e+04 4.071312042873696413e+00 3.497224532731409846e-02 5.003040371967038880e+01
-9.865067466266865814e-01 3.470254075205361885e-04 3.776423779507673316e+04 3.885639153898867715e+00 5.057155874840253001e-02 5.012666397719626588e+01
-9.860069965017490556e-01 3.200610581874920534e-04 3.764640778326321742e+04 3.878669084026574065e+00 5.818901444887555896e-02 5.006495230366425631e+01
-9.855072463768115298e-01 2.957619238789787621e-04 3.730828945783455856e+04 4.009274640249508082e+00 5.257010284817493356e-02 4.977201178189280029e+01
-9.850074962518740040e-01 2.765302513679506347e-04 3.730593767468121951e+04 4.465401312150864221e+00 3.688795144270754639e-02 4.904655488234698879e+01
-9.845077461269364782e-01 2.659819371679450137e-04 3.730433697642611514e+04 5.461496200372685905e+00 3.776203412020900929e-02 4.831687741831699867e+01
-9.840079960019989525e-01 2.638675043494844168e-04 3.730513124222373153e+04 5.925764844493771832e+00 5.975405619114341343e-02 4.806289907954393925e+01
-9.835082458770614267e-01 2.685513567221678747e-04 3.730819587034174765e+04 5.969862558511684014e+00 7.122440240748469098e-02 4.814781859700688926e+01
-9.830084957521239009e-01 2.758425529535526218e-04 3.699697462531961355e+04 5.755460921795908291e+00 6.598713322610087750e-02 4.850751929807702112e+01
-9.825087456271863751e-01 2.816808419919835955e-04 3.639914444257885771e+04 5.248814920942665552e+00 5.964156647677414103e-02 4.902974107598066666e+01
-9.820089955022488493e-01 2.862691475060545371e-04 3.614929357224915293e+04 4.708954833382419380e+00 6.821300797979665265e-02 4.944770587488057600e+01
-9.815092453773113235e-01 2.934778470241767049e-04 3.623730918319671036e+04 4.411233051787906589e+00 8.057471841300345439e-02 4.965478646306770116e+01
-9.810094952523737977e-01 3.081881652478640418e-04 3.615259785048334015e+04 4.293720015927990907e+00 8.144996256370105880e-02 4.969752487615760117e+01
-9.805097451274362719e-01 3.310207352004144489e-04 3.580369336366220523e+04 4.325480259901062219e+00 6.579303590075377683e-02 4.951674472600824117e+01
-9.800099950024987461e-01 3.594206771426741785e-04 3.662340521353521035e+04 4.656100932915499868e+00 4.109102949490633233e-02 4.889986192639456419e+01
-9.795102448775612203e-01 3.866854221182026443e-04 3.662190683531545073e+04 5.560724792680429296e+00 3.252089253963949544e-02 4.820416151753558154e+01
-9.790104947526236945e-01 4.087989451250623987e-04 3.659363893027939048e+04 6.048523286699328594e+00 4.509412052324240222e-02 4.798018652011848673e+01
-9.785107446276861687e-01 4.242313776537827690e-04 3.659464514385830989e+04 6.008892427239674205e+00 5.013116515826928493e-02 4.820059262651622589e+01
-9.780109945027486429e-01 4.347482222141293593e-04 3.594025273366465990e+04 5.607166096172329084e+00 4.834570455650667731e-02 4.869271535425187380e+01
