# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998226006741174343e-01 3.011441864240268118e-04 1.810983229870735886e+04 -1.292617488332642228e+00 3.047066655603801522e+00 5.528708284627935399e+01
-9.994678020223523029e-01 6.144314656871326542e-04 1.810903530071275600e+04 -5.591794492619747148e-01 2.986824467712892783e+00 5.466315669518005649e+01
-9.991130033705871716e-01 9.337970802453030147e-04 1.810907881182566780e+04 -2.561124196499501959e+00 2.893337126926321279e+00 5.469344739733283944e+01
-9.987582047188220402e-01 1.033165331937371394e-04 1.811020226552705572e+04 -4.580518432719173916e-01 2.981325395034078340e+00 5.554698515819822546e+01
-9.984034060670569088e-01 8.364095287510547481e-04 1.771086652375354606e+04 -7.938775288474927416e-01 2.901595954851839299e+00 5.511526448482397456e+01
-9.980486074152917775e-01 6.175332611473801671e-04 1.502237104101759360e+04 -1.341492223788385507e+00 3.059672861577417802e+00 5.483886728709445890e+01
-9.976938087635266461e-01 3.664223957352910361e-04 1.502439257303954946e+04 -1.362437481715573329e+00 2.993730981494642229e+00 5.422150505178188240e+01
-9.973390101117615147e-01 1.141058778162068769e-03 1.754216530460532522e+04 -2.589678137638504296e+00 2.883660869987750619e+00 5.448836340626125008e+01
-9.969842114599964944e-01 4.351085612418518437e-04 1.741608603854023750e+04 -7.823239934129445627e-01 2.973631690032225272e+00 5.449204894636409335e+01
-9.966294128082313630e-01 9.608460863495508911e-04 1.543677448672787614e+04 -2.547357175622205983e+00 2.859622978114590985e+00 5.431501461855950907e+01
-9.962746141564662317e-01 7.048156934466334690e-04 1.534447420668220002e+04 -1.104240999219005426e+00 3.036939057034951261e+00 5.508624728373148827e+01
-9.959198155047011003e-01 1.645338454361173184e-04 1.865414926247569383e+04 -9.470420300475420605e-01 3.007447934583393767e+00 5.519553875959338995e+01
-9.955650168529359689e-01 5.233551592975999381e-04 1.865458420000808837e+04 -8.842337170766626508e-01 3.041847466014166113e+00 5.524845601833051489e+01
-9.952102182011708376e-01 4.880121615090845513e-04 1.865242228276824244e+04 -8.404255022080253656e-01 3.085542059754483812e+00 5.446133032543875885e+01
-9.948554195494057062e-01 2.810933541538651430e-04 1.865105692267667473e+04 -2.460812050101305104e+00 2.989783072866812663e+00 5.477921633456443828e+01
-9.945006208976405748e-01 4.367649169138712400e-04 1.865148176821556626e+04 -1.809778926302934021e-01 3.094564936338260352e+00 5.552802713298002857e+01
-9.941458222458754435e-01 4.406785883667995200e-04 1.529108425006907237e+04 -9.378069187637233517e-01 3.007195976982446339e+00 5.605631805518996202e+01
-9.937910235941103121e-01 1.757372147505341430e-04 1.795218022460614520e+04 8.912610930187002678e-01 3.130763656397324457e+00 5.730150461524657857e+01
-9.934362249423451807e-01 4.377750347907048787e-04 1.794934477053807495e+04 1.569099835958243983e+00 3.070371656423907414e+00 5.818437411659677849e+01
-9.930814262905800494e-01 3.169865521689456075e-04 1.794675379549106583e+04 2.659804933207777999e+00 3.039952590232808838e+00 5.790230388657747795e+01
-9.927266276388149180e-01 2.875119614189671760e-04 1.794704727064565668e+04 9.991540064092832019e-01 3.101040646019857405e+00 5.691399392507901922e+01
-9.923718289870498976e-01 4.458568838753350729e-04 2.040839913077984238e+04 6.743475170355801573e-01 2.979045764525789952e+00 5.588473657080474055e+01
-9.920170303352847663e-01 1.214892182429765896e-04 2.310761444814542483e+04 -1.082789760165093096e+00 3.115107481293598823e+00 5.519153083353861433e+01
-9.916622316835196349e-01 4.914274149793066782e-04 2.668112937685637735e+04 -7.351040481768927881e-01 3.009680985497748207e+00 5.536685012269718698e+01
-9.913074330317545035e-01 5.019008406862915253e-04 2.624960246042923245e+04 -7.320022972182164134e-01 3.087685799027446887e+00 5.545930130217399068e+01
-9.909526343799893722e-01 6.254798009408535364e-05 2.625040376995646147e+04 -5.499102309695237389e-01 3.067612897469135902e+00 5.539670472080823771e+01
-9.905978357282242408e-01 6.175489445258452222e-04 2.500932739463285543e+04 -8.577730319413123805e-01 3.054519839130326986e+00 5.552766913287767636e+01
-9.902430370764591094e-01 4.601292856216024720e-04 2.501183629917501821e+04 -2.866598601640577004e-01 3.114660443040125237e+00 5.560324083514734639e+01
-9.898882384246939781e-01 3.632876132154561760e-04 2.376724835354670358e+04 -7.046175700707958400e-01 3.016164925922917295e+00 5.529471874179645852e+01
-9.895334397729288467e-01 6.574132826396325395e-04 2.262075313611245656e+04 -9.054331765283774036e-01 3.114974477728458702e+00 5.432939163371656832e+01
-9.891786411211637153e-01 4.425377764968096224e-04 2.580806342928925005e+04 -2.637462902436448431e+00 3.001363838007181872e+00 5.411641745068958187e+01
-9.888238424693985840e-01 4.285558647936721713e-04 2.580953612683194297e+04 -1.319053649887318214e+00 3.062096442792003881e+00 5.519248800366296592e+01
