# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 2.150434617890182275e-03 -3.041944861028967716e+04 -1.414416225415317641e+00 3.512607223625226482e-01 -1.546907984034688255e+01
-9.997008674842955411e-01 1.804463791952628984e-03 -3.042130049191019134e+04 -3.378178321103296744e-01 7.069062480739223275e-01 -1.558505997450590996e+01
-9.994017349685910823e-01 2.189161749548802164e-03 -3.288870589445008227e+04 -1.362181885552028238e+00 3.125836555533966776e-01 -1.550154698867264713e+01
-9.991026024528866234e-01 1.998841134703943211e-03 -3.289128576285020972e+04 -7.191471563746785201e-01 5.247990058684444126e-01 -1.600122452653065963e+01
-9.988034699371821645e-01 1.978375771971375811e-03 -3.289388501479179104e+04 -2.714127735627577254e-01 2.935586779459449791e-01 -1.601714716893295076e+01
-9.985043374214777057e-01 1.295150543278754136e-03 -3.289227303255134757e+04 -6.429418054017376205e-01 8.885597554961337519e-01 -1.580590684021073500e+01
-9.982052049057732468e-01 1.733737081531913984e-03 -3.281452639195525262e+04 -7.489565961795682236e-01 2.887625684114891733e+00 -1.565245123908167812e+01
-9.979060723900687879e-01 4.655914631312327539e-04 -2.963897960816024352e+04 -5.009352661317674205e-01 1.760474676901999436e+00 -1.552134762360818954e+01
-9.976069398743643291e-01 1.724108369119222404e-03 -3.104941917419815945e+04 -3.835000396912179310e-01 2.935408364621868049e+00 -1.633943205616359862e+01
-9.973078073586598702e-01 2.609951056972780012e-04 -3.104981455159514735e+04 -2.077694872891142186e+00 1.793532898990371605e+00 -1.694736412970137351e+01
-9.970086748429554113e-01 1.277471681615033371e-03 -3.288827566289564129e+04 -7.476377484052419697e-02 2.834332883773923450e-01 -1.596496788207313955e+01
-9.967095423272509525e-01 3.720401327531509968e-04 -3.090694198829543166e+04 -1.660374284914893250e+00 1.952166825957385887e+00 -1.499642125769430834e+01
-9.964104098115464936e-01 1.042151333386628692e-03 -3.090982575218465718e+04 -5.460405224815646497e-01 3.574187866993925322e-01 -1.382763394737338203e+01
-9.961112772958420347e-01 3.006140302972592137e-04 -3.203045121797971296e+04 -2.598582579658472724e+00 1.503247652823581415e+00 -1.292143261087687023e+01
-9.958121447801375759e-01 7.185047208559017890e-04 -3.203215426247248615e+04 -9.625933509253683518e-01 7.900367209493017739e-01 -1.321680308074832411e+01
-9.955130122644331170e-01 3.780478962347817631e-04 -3.210261241156845790e+04 -2.801509912852717110e-01 1.545127398726000356e+00 -1.345119076237805089e+01
-9.952138797487286581e-01 4.098908035529629326e-04 -2.839869416702851595e+04 -7.297981469023231416e-01 1.430018860066964326e+00 -1.346480106102273666e+01
-9.949147472330241992e-01 5.413773451225565138e-04 -2.662743024445635820e+04 -4.535492674955438619e-01 1.478020757904912719e+00 -1.348979746928851853e+01
-9.946156147173197404e-01 3.600196807373705495e-04 -2.806039429746096721e+04 -3.323141759651722649e-01 1.541901164652193179e+00 -1.349177206814120211e+01
-9.943164822016152815e-01 6.254810685789486150e-04 -2.711790763188233541e+04 -5.843751239062382474e-01 1.481239132017252658e+00 -1.350380856131043217e+01
-9.940173496859108226e-01 2.743115855048572816e-04 -2.731675447477490161e+04 -2.337916969748530249e-01 1.480649562799926544e+00 -1.350570513646844262e+01
-9.937182171702063638e-01 5.901249867298067253e-04 -2.789689147883345868e+04 -5.399538827933544338e-01 1.518562167507427674e+00 -1.349410456227271027e+01
-9.934190846545019049e-01 5.577697742949526503e-04 -2.695077532478975627e+04 -4.564261699770168490e-01 1.300124857312572768e+00 -1.351374867498227772e+01
-9.931199521387975571e-01 4.084735968479245622e-04 -2.840255990498858591e+04 -3.257978405339221339e-01 1.558261493429003997e+00 -1.352904265201200928e+01
-9.928208196230930982e-01 8.921183685864165006e-04 -2.759704532285553432e+04 -6.719826478803807568e-01 1.307426606675968994e+00 -1.359423676388244573e+01
-9.925216871073886393e-01 1.554458002531361233e-04 -2.775635572815490741e+04 -1.544679287836245585e-01 1.498364647887868495e+00 -1.365380539568214502e+01
