# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998024105907923342e-01 1.047339205587137045e-04 1.409273700225133871e+04 1.989083233058224764e-01 3.776814156657172239e-01 -9.862437008016247120e+00
-9.994072317723770027e-01 1.062048808499117434e-04 1.409473856713980240e+04 5.257402502392717336e-01 5.072878835525085339e-01 -1.013549904914690813e+01
-9.990120529539616712e-01 1.460408816374484352e-05 1.359897850743060917e+04 8.029810582173191325e-01 2.642561404545315518e-01 -1.024215155782320075e+01
-9.986168741355463396e-01 6.119788587920372408e-05 1.094437661563885922e+04 7.729158567950658032e-01 6.389218544383765686e-01 -1.067341549757862751e+01
-9.982216953171310081e-01 1.332639573685053826e-04 1.197178819110128097e+04 1.883549894707629457e+00 2.752243912843721940e+00 -1.161274748207066665e+01
-9.978265164987156766e-01 9.568248779125852657e-05 1.563265287242452905e+04 8.165795204109288496e-01 7.134804497183575567e-01 -1.202212692594350507e+01
-9.974313376803003450e-01 6.233730248174174451e-05 1.640239300313575950e+04 5.939129584687482533e-01 4.653749485858902912e-01 -1.205539117615969502e+01
-9.970361588618850135e-01 1.452847576909846070e-04 1.397064924437742411e+04 8.567488196005536016e-01 4.880855707020932965e-01 -1.200408791748392190e+01
-9.966409800434696820e-01 1.637612121310287323e-04 1.345548459851046209e+04 4.746401718278017157e-01 7.659204258182011893e-01 -1.195629496026229965e+01
-9.962458012250543504e-01 1.934552804885515578e-04 1.498940678754448527e+04 8.102718887015508686e-01 4.956740795890893780e-01 -1.204432831457142861e+01
-9.958506224066390189e-01 2.723778512755002028e-04 1.293478144482530843e+04 7.354260138511503619e-01 8.678262466853926549e-01 -1.216593908848278005e+01
-9.954554435882236874e-01 2.499095498642041726e-04 1.293479144185311634e+04 1.213486424418131371e+00 6.471573979967808476e-01 -1.242528568022536106e+01
-9.950602647698083558e-01 2.960245219110271830e-04 1.252918910770054572e+04 1.476250722170866281e+00 8.278403440327007923e-01 -1.297159347708777588e+01
-9.946650859513930243e-01 2.408197292541234234e-04 1.331892319041843621e+04 2.781533726962407638e+00 7.292004362308366350e-01 -1.354190780659869731e+01
-9.942699071329776928e-01 2.487328085841771972e-04 1.167719751176687896e+04 3.127040107982425265e+00 8.124016741762276617e-01 -1.381144539252984416e+01
-9.938747283145623612e-01 2.891355941380286949e-04 1.422215464866567345e+04 3.536237746582993502e+00 7.358608305044831432e-01 -1.432834086184568179e+01
-9.934795494961470297e-01 3.574193890515164136e-04 1.283772773329684605e+04 4.551224803784334583e+00 7.592532923544882406e-01 -1.488927288318557984e+01
-9.930843706777316982e-01 2.741188542573500322e-04 1.198916708667109560e+04 5.060636127478183255e+00 1.093610556493284536e+00 -1.504316022844689726e+01
-9.926891918593163666e-01 3.913171115501415951e-04 1.369965951957175821e+04 4.926237117123006826e+00 7.974616435881912713e-01 -1.520983352281902157e+01
-9.922940130409010351e-01 4.222440400950411158e-04 1.608405084802490455e+04 5.491819324637849498e+00 8.295818134187041837e-01 -1.514886708887907218e+01
-9.918988342224857035e-01 2.864858268761557138e-04 1.441841102144643628e+04 4.726093000368073227e+00 8.157221064102481156e-01 -1.500516031826773045e+01
-9.915036554040703720e-01 3.143880756889477573e-04 1.164342049874617260e+04 5.061097429505069023e+00 8.817966177225350366e-01 -1.501445496077197106e+01
-9.911084765856550405e-01 2.721996181515624219e-04 1.208875636363785816e+04 4.729208396835418604e+00 7.811911723269342467e-01 -1.487130806076204337e+01
-9.907132977672397089e-01 2.369189896148303194e-04 1.183714049506681113e+04 4.623177053630264766e+00 7.951098169798596071e-01 -1.455569033268579204e+01
-9.903181189488243774e-01 3.097886844319590479e-04 1.484638894343595530e+04 3.829203671762984484e+00 7.761720671585885523e-01 -1.457080860481632456e+01
-9.899229401304090459e-01 2.206192198130204837e-04 1.397912074056183519e+04 4.650646229507431784e+00 7.583460979338544350e-01 -1.497928442354898948e+01
-9.895277613119937143e-01 2.502938214794787441e-04 1.195082003954480933e+04 4.968522268779628881e+00 6.842277580921524160e-01 -1.505447514412003684e+01
-9.891325824935783828e-01 2.365037433410346901e-04 1.221095191737952882e+04 4.864782860397063757e+00 7.245046787002896727e-01 -1.510540383091219141e+01
-9.887374036751630513e-01 1.650594215543005339e-04 1.297054429201634593e+04 5.108157651258807164e+00 5.199745188602835633e-01 -1.543533791846475722e+01
-9.883422248567477197e-01 2.944878005369438241e-04 1.230204617854698154e+04 5.658520457478149801e+00 7.374301820305123600e-01 -1.526865820381506467e+01
-9.879470460383323882e-01 2.197314773868691855e-04 1.232612959192153721e+04 4.562893620896753433e+00 7.137384418311535361e-01 -1.442723470933095342e+01
-9.875518672199170567e-01 3.705026762914023124e-04 1.232647409854399302e+04 3.409510335712888640e+00 6.701089894752386700e-01 -1.445537145872377849e+01
-9.871566884015017251e-01 3.570735821465359072e-04 1.518374441715447938e+04 4.593732317036701041e+00 6.643730887021019882e-01 -1.475174201906157734e+01
-9.867615095830863936e-01 2.340227009801535514e-04 1.185034815576973961e+04 4.167724325528910256e+00 2.492522950651615776e+00 -1.400394640739391150e+01
-9.863663307646710621e-01 2.295357462449774098e-04 1.185238615736682004e+04 5.624071293796669480e+00 7.115847188077928376e-01 -1.280681235486178693e+01
-9.859711519462557305e-01 1.747897211716515134e-04 1.237578447342795334e+04 3.994559995639903605e+00 5.881380765952518574e-01 -1.306441913498823126e+01
-9.855759731278403990e-01 2.530280211422785515e-04 1.288064351944885129e+04 6.097132451331021663e+00 7.275736801632363138e-01 -1.354528324342631507e+01
-9.851807943094250675e-01 1.182699682803975823e-04 1.192428034752949679e+04 5.042539411737719135e+00 5.351021438213782178e-01 -1.327241518183668134e+01
-9.847856154910097359e-01 2.069634559712490703e-04 1.376656879658042089e+04 5.323658942990993737e+00 7.291748420104905426e-01 -1.353428277704154326e+01
-9.843904366725944044e-01 1.900067987448840327e-04 1.177007199016893173e+04 5.701696069925358934e+00 7.232114156552711393e-01 -1.374467121860498153e+01
-9.839952578541790729e-01 2.065277576114207250e-04 1.130429688744360828e+04 5.886927861213170132e+00 5.515185643819242589e-01 -1.390993386892133898e+01
-9.836000790357637413e-01 2.474587480525300095e-04 1.470609776986294492e+04 6.111952198851025919e+00 7.901533322472019671e-01 -1.413725108106564221e+01
-9.832049002173484098e-01 2.402215865291065496e-04 1.470658916873441740e+04 6.485635432760591179e+00 5.705910767371986658e-01 -1.402543481802634417e+01
-9.828097213989330783e-01 2.716675981478484849e-04 1.575084370189313086e+04 5.907430226788286554e+00 7.566848761296893766e-01 -1.392971803525385965e+01
-9.824145425805177467e-01 3.183628506094873995e-04 1.412332604041320883e+04 6.313381267419291731e+00 8.569390558239301514e-01 -1.428872871211039453e+01
-9.820193637621024152e-01 2.767158849047667815e-04 1.575278586149325929e+04 6.959193015727014320e+00 7.698977276684617621e-01 -1.429194790912163526e+01
