# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 4.667054021892645563e-05 -3.869034887567135229e+03 2.663340388054517671e+00 2.818054310367604565e+00 2.074098475444797529e+00
-9.996486296556570395e-01 4.973802190155624252e-05 -3.871789764397663021e+03 2.748994083641728370e+00 2.847377430053829261e+00 2.310913849616294868e+00
-9.992972593113140789e-01 5.799061081391265873e-05 -5.129040828115054865e+03 3.159034590652199714e+00 2.930566018596816313e+00 2.950805556379332728e+00
-9.989458889669712294e-01 6.584126038512913006e-05 -5.893562243362835034e+03 4.066528424128180497e+00 2.902029593730818924e+00 3.562858937226762279e+00
-9.985945186226282688e-01 6.768071265382590105e-05 -5.058157947500567388e+03 4.413172391415936424e+00 2.724949212562688849e+00 3.761048320103432374e+00
-9.982431482782853083e-01 6.582744827193629964e-05 -5.449672754271633494e+03 4.478385563071912934e+00 2.575047340320483436e+00 3.790774131537034464e+00
-9.978917779339423477e-01 6.165609292011492849e-05 -5.805045246233245962e+03 4.478169005364670774e+00 2.486055188453017539e+00 3.780252800115496470e+00
-9.975404075895993872e-01 5.758051997915480046e-05 -5.944510048557716800e+03 4.451854633035158493e+00 2.438468746143161336e+00 3.750686207690714369e+00
-9.971890372452565376e-01 5.332165901497124222e-05 -6.021583468346230802e+03 4.401681663475294215e+00 2.413432885016383533e+00 3.701027159734593397e+00
-9.968376669009135771e-01 4.709174075537233856e-05 -6.058824756910091310e+03 4.319895993882991725e+00 2.412359706293679906e+00 3.617172205355958070e+00
-9.964862965565706165e-01 4.004608825735511457e-05 -5.838273278248416318e+03 4.176853078358557347e+00 2.443001120875739840e+00 3.463082794667156961e+00
-9.961349262122276560e-01 2.937933688219605322e-05 -5.139755554712526646e+03 3.913693975870958575e+00 2.507446178515535085e+00 3.191672565519718674e+00
-9.957835558678848065e-01 2.371187121621155634e-05 -4.761500152944315232e+03 3.490014550929881221e+00 2.590636286788595477e+00 2.834515344517956947e+00
-9.954321855235418459e-01 3.506792602822954264e-05 -5.155465413219806578e+03 3.052224491806860840e+00 2.652206378440514989e+00 2.505905797378890298e+00
-9.950808151791988854e-01 4.771541237350829224e-05 -5.694364158062555362e+03 2.730216317235927281e+00 2.712105830355390879e+00 2.239786026500112825e+00
-9.947294448348559248e-01 5.711621645441268227e-05 -6.239133762286550336e+03 2.457411905114690320e+00 2.800095024418067347e+00 1.958935873191393284e+00
-9.943780744905129643e-01 6.273435412802860420e-05 -6.992838688324186478e+03 2.124516469705033828e+00 2.906139669431048844e+00 1.539564346736705502e+00
-9.940267041461701147e-01 6.349846474452339044e-05 -6.412887830832424697e+03 1.584547108211406652e+00 3.000869923743752388e+00 7.874872887453712167e-01
-9.936753338018271542e-01 5.986782508044175477e-05 -6.412914900518897412e+03 5.956889575473647280e-01 3.051643012784904574e+00 -2.614535585528479089e-01
-9.933239634574841936e-01 5.550774517387352977e-05 -5.204112702430148602e+03 -5.276509357074763429e-01 3.021696399342823636e+00 -1.114545950752290793e+00
-9.929725931131412331e-01 5.120686363518360160e-05 -5.206729167464228340e+03 -1.119284508011301416e+00 2.935067296518220292e+00 -1.572283141365257819e+00
-9.926212227687982725e-01 4.751316682506222521e-05 -6.375140892278384854e+03 -1.454496094468454626e+00 2.826613838917904964e+00 -1.846677832555876364e+00
-9.922698524244554230e-01 4.322308955032669043e-05 -6.808147209311241568e+03 -1.686617027103356037e+00 2.710699450605254412e+00 -2.039753333011670833e+00
-9.919184820801124625e-01 3.778232687498535660e-05 -7.001510970426475978e+03 -1.868711461557702291e+00 2.603325482589435858e+00 -2.192180420652654504e+00
-9.915671117357695019e-01 3.276971899963594285e-05 -6.940882744931481284e+03 -2.031074279654286219e+00 2.521640270647690585e+00 -2.331981957208647316e+00
-9.912157413914265414e-01 2.764597235186908318e-05 -6.561437085576613754e+03 -2.203328338301086653e+00 2.469782609029676390e+00 -2.480681013036893034e+00
-9.908643710470835808e-01 2.134726292674928548e-05 -6.351491725382967161e+03 -2.404171838556599550e+00 2.448581750570776983e+00 -2.650118961185594202e+00
-9.905130007027407313e-01 1.296686172442736704e-05 -6.676896537048836763e+03 -2.640321955266065945e+00 2.468453927345262588e+00 -2.846134931586814076e+00
-9.901616303583977707e-01 7.517709875132517000e-06 -6.957880381580018366e+03 -2.909363959749776907e+00 2.533535328962414734e+00 -3.073921299475216529e+00
-9.898102600140548102e-01 1.776985157696401370e-05 -6.929934723638200012e+03 -3.208132664451811777e+00 2.638632954276813436e+00 -3.348311294554072504e+00
-9.894588896697118496e-01 2.995251886529127862e-05 -7.025392486555951109e+03 -3.554602326388795142e+00 2.766366862382751091e+00 -3.704585868770053025e+00
-9.891075193253688891e-01 3.739427720991927323e-05 -7.167987407033022464e+03 -3.994171787831052978e+00 2.878869073279717306e+00 -4.174831573028079390e+00
-9.887561489810260396e-01 3.894006844567718238e-05 -6.996798609783909342e+03 -4.544562825040635801e+00 2.951241626609314661e+00 -4.743868629668568815e+00
