# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 1.825754830264472153e-04 4.531716358063315965e+03 -3.064759635627328116e+00 5.078913750168843055e-01 -1.233881044128418303e+01
-9.996441281138790380e-01 1.925125110261808605e-04 4.815485686906009505e+03 -3.068638514671806483e+00 4.977860748304757110e-01 -1.232448258863318813e+01
-9.992882562277580760e-01 2.044910580245475193e-04 4.776758275531191430e+03 -3.097394771144948322e+00 4.804439031196985899e-01 -1.229740533177567663e+01
-9.989323843416371140e-01 2.188314220068459509e-04 4.803310344585328494e+03 -3.129970768841963125e+00 4.671293613909203168e-01 -1.227398295106524984e+01
-9.985765124555160410e-01 2.294926326632759661e-04 4.807674616421836618e+03 -3.150082099920687106e+00 4.699975954308334702e-01 -1.223261029471496819e+01
-9.982206405693950790e-01 2.435874880477126737e-04 4.636525566021935447e+03 -3.222750158127311693e+00 4.899633431644958570e-01 -1.215934011026850925e+01
-9.978647686832741170e-01 2.609009635057664357e-04 4.575050473817515012e+03 -3.315402442747508616e+00 5.025579481008014548e-01 -1.209721500572708131e+01
-9.975088967971530440e-01 2.722671854587169335e-04 4.618728464755920868e+03 -3.363897100473314694e+00 5.146898291449153451e-01 -1.205749434992840818e+01
-9.971530249110320820e-01 2.804537500644592256e-04 4.665790848974871551e+03 -3.406338422895211160e+00 5.415511979096343520e-01 -1.202685851804143624e+01
-9.967971530249111201e-01 2.873069888800907452e-04 4.644805588131135664e+03 -3.434729740849982615e+00 5.612276666019123672e-01 -1.198931844329607799e+01
-9.964412811387901581e-01 2.979468438885646015e-04 4.675564814247565664e+03 -3.494676824080662048e+00 5.725276452882834821e-01 -1.196164313506880639e+01
-9.960854092526690851e-01 2.990065584858112979e-04 4.773624095822024174e+03 -3.500148670724762656e+00 5.751222858905603585e-01 -1.195071246553528610e+01
-9.957295373665481231e-01 3.023918746443531448e-04 4.765689552886561614e+03 -3.520720156534676626e+00 5.812710367016512558e-01 -1.193655567403716766e+01
-9.953736654804271611e-01 3.049705954388303515e-04 4.827978741787932449e+03 -3.533943386936631459e+00 5.695498705251040850e-01 -1.194011200724621169e+01
-9.950177935943060881e-01 2.998986691213880113e-04 4.910639817981524175e+03 -3.512374404061477495e+00 5.577182086070406886e-01 -1.196208593472461423e+01
-9.946619217081851261e-01 2.952367244531389615e-04 4.922969395887721475e+03 -3.481985795120173588e+00 5.384501371152523586e-01 -1.199443104357421319e+01
-9.943060498220641641e-01 2.893654828794742857e-04 4.962612426004802728e+03 -3.436666815177843670e+00 5.143206580589001486e-01 -1.205231037102160307e+01
-9.939501779359430911e-01 2.737470869162502048e-04 4.995708321815132877e+03 -3.348394689004071889e+00 4.934323442519557568e-01 -1.213310563446840185e+01
-9.935943060498221291e-01 2.599573623748837941e-04 5.024565480152132295e+03 -3.252178911802949823e+00 4.708173981929215102e-01 -1.222400478284003000e+01
-9.932384341637011671e-01 2.436218388087454077e-04 5.021502084240053591e+03 -3.143269445560768816e+00 4.597333674444892826e-01 -1.230646055783273596e+01
-9.928825622775800941e-01 2.277016243688392036e-04 4.903989784786343080e+03 -3.067556567747875107e+00 4.495229969597692166e-01 -1.236208074671779933e+01
-9.925266903914591321e-01 2.207076061321077754e-04 4.831118045463628732e+03 -3.019381928431666751e+00 4.368087651790170667e-01 -1.240619943206740672e+01
-9.921708185053381701e-01 2.103908690591481823e-04 4.804303193337865196e+03 -2.969885898372823352e+00 4.350890554743528371e-01 -1.243769977379959890e+01
-9.918149466192170971e-01 2.022239049869211682e-04 4.778653315501895122e+03 -2.949868952265065403e+00 4.240479869847486039e-01 -1.244376427222799286e+01
-9.914590747330961351e-01 2.020993776393060202e-04 4.798685011117928298e+03 -2.956477265544074751e+00 4.117559875970073779e-01 -1.242497899476206413e+01
-9.911032028469751731e-01 1.998747892100793456e-04 4.814738471359893083e+03 -2.990902041337197836e+00 4.058976424991116994e-01 -1.236849306598749187e+01
-9.907473309608542111e-01 1.991603904972174177e-04 4.775779239919247630e+03 -3.079527315296227030e+00 3.972869072384532241e-01 -1.226405561995799331e+01
-9.903914590747331381e-01 2.025749913723117596e-04 4.689333298299506168e+03 -3.217742927173173229e+00 4.116193651693779154e-01 -1.212736119442256921e+01
-9.900355871886121761e-01 2.011251088604654787e-04 4.575480005737662395e+03 -3.376981773120297792e+00 4.586428324164085191e-01 -1.198613394577057711e+01
-9.896797153024912141e-01 1.984502496290416662e-04 4.515387571304792800e+03 -3.529232459589207505e+00 5.360822797364745984e-01 -1.187913742373715387e+01
-9.893238434163701411e-01 1.984071254964574367e-04 4.525164786779319911e+03 -3.619351520801519673e+00 6.288730639768659314e-01 -1.182377617645981616e+01
-9.889679715302491791e-01 1.924494855501859955e-04 4.524144046804255595e+03 -3.660461992768896167e+00 6.980939728041420933e-01 -1.179916919438973544e+01
-9.886120996441282172e-01 1.840081930017164059e-04 4.538112955439493817e+03 -3.681306466287020296e+00 7.385773206531970336e-01 -1.179295862228693892e+01
-9.882562277580071441e-01 1.761612066587358693e-04 4.552259810588693654e+03 -3.676509300533921554e+00 7.537363190660028023e-01 -1.179398599082217380e+01
-9.879003558718861822e-01 1.662081546534916105e-04 4.559446108295290287e+03 -3.678556127713277668e+00 7.510354680432480556e-01 -1.179323984878785936e+01
-9.875444839857652202e-01 1.559758504788965466e-04 4.575191628174661673e+03 -3.678555945419786255e+00 7.325698357723015031e-01 -1.179373938335536742e+01
-9.871886120996441472e-01 1.498083934386408513e-04 4.560603111094233100e+03 -3.677212311192537886e+00 7.003222082350507582e-01 -1.179782408538827276e+01
-9.868327402135231852e-01 1.431474016794741504e-04 4.611082434516014473e+03 -3.667834670662783569e+00 6.572742884580821121e-01 -1.181847431392865744e+01
-9.864768683274022232e-01 1.372919648659741703e-04 4.735225117584464897e+03 -3.624722768532261163e+00 6.041911919701784539e-01 -1.184821002547040436e+01
-9.861209964412812612e-01 1.413000348651309568e-04 4.848078991976624820e+03 -3.593929804980031228e+00 5.501835126348196825e-01 -1.185372868353756104e+01
-9.857651245551601882e-01 1.486347297715354923e-04 4.806608579343243036e+03 -3.610710234747463332e+00 5.029155544085316398e-01 -1.180748869315265637e+01
-9.854092526690392262e-01 1.606809495610439845e-04 4.563973535057883964e+03 -3.699933647383662372e+00 4.648969332123608633e-01 -1.172769281312659118e+01
-9.850533807829182642e-01 1.765279917511729376e-04 4.659146557791651503e+03 -3.791016354811143074e+00 4.126862864955888055e-01 -1.170665518331768062e+01
-9.846975088967971912e-01 1.893076470570690534e-04 4.959263807108320179e+03 -3.748070251559299848e+00 3.443512036413260424e-01 -1.173441568792554968e+01
-9.843416370106762292e-01 2.037249545255191078e-04 4.668415528736666602e+03 -3.730880765712584424e+00 2.924384049269815877e-01 -1.172085178252451065e+01
-9.839857651245552672e-01 2.176271367647743596e-04 4.562534263232157173e+03 -3.776109176260978195e+00 2.451828463083133014e-01 -1.178784396418324754e+01
-9.836298932384341942e-01 2.263727732708072701e-04 5.074720482889852974e+03 -3.593350870353654525e+00 2.252164371462308523e-01 -1.198800110335021429e+01
-9.832740213523132322e-01 2.302269197892290082e-04 5.248889516184062813e+03 -3.364550978431100070e+00 2.625337374281387914e-01 -1.213276424480229743e+01
-9.829181494661922702e-01 2.165030506349781140e-04 5.014868886559561361e+03 -3.295686832878034878e+00 3.701897964828372856e-01 -1.216337081694777567e+01
-9.825622775800711972e-01 1.859972056323125301e-04 4.875867579535302866e+03 -3.301362731556422681e+00 5.277184274487610738e-01 -1.216053881398792669e+01
-9.822064056939502352e-01 1.676786870174854253e-04 4.776599381411927425e+03 -3.301794002429381703e+00 6.264743178868888984e-01 -1.214699032544425528e+01
-9.818505338078292732e-01 1.564498881156021028e-04 4.675462923596516703e+03 -3.334783003332107310e+00 6.849596810187784657e-01 -1.213092799498386931e+01
-9.814946619217082002e-01 1.573646480223679504e-04 4.696915012723673499e+03 -3.341756109178537493e+00 7.062278349702034719e-01 -1.212258228457471709e+01
-9.811387900355872382e-01 1.638045712654090879e-04 4.608011824995728603e+03 -3.356596947649559404e+00 7.055256230548537788e-01 -1.209619043157972662e+01
-9.807829181494662762e-01 1.696383338344761263e-04 4.636691425884650016e+03 -3.411101294410303630e+00 7.044990109713020754e-01 -1.207504636353254490e+01
-9.804270462633453143e-01 1.786512130678041984e-04 4.609464645167608978e+03 -3.412145433219964996e+00 6.925486706567420825e-01 -1.203465369312496236e+01
-9.800711743772242412e-01 1.878188792832734667e-04 4.561661305069329501e+03 -3.516079387966482450e+00 6.766060852334072617e-01 -1.198371897867043323e+01
-9.797153024911032793e-01 1.941814038351783269e-04 4.616179156095504368e+03 -3.544140937848343942e+00 6.707949610941124075e-01 -1.193292260593008436e+01
-9.793594306049823173e-01 2.054271877900505693e-04 4.582527988807057227e+03 -3.645903053959557383e+00 6.488304584347326376e-01 -1.185845153642727823e+01
-9.790035587188612443e-01 2.125760087603839577e-04 4.531831702017308999e+03 -3.732787876719359854e+00 6.331269653517116458e-01 -1.177794534237403745e+01
-9.786476868327402823e-01 2.210651199098650490e-04 4.621170940416004669e+03 -3.846637374963747469e+00 6.205557596531502407e-01 -1.170825687917007940e+01
-9.782918149466193203e-01 2.314610101000178801e-04 4.776415493309565136e+03 -3.905138106573007750e+00 5.876486842680597178e-01 -1.161507137446291615e+01
-9.779359430604982473e-01 2.442740520447814613e-04 4.567786637245504608e+03 -4.071888477049064647e+00 5.395379491083239776e-01 -1.145274281551216511e+01
-9.775800711743772853e-01 2.501377877433768704e-04 4.469477500426817642e+03 -4.288545077430628183e+00 5.291708938952968122e-01 -1.131925196787729249e+01
-9.772241992882563233e-01 2.579483850678345293e-04 4.696166243465833759e+03 -4.382497307565218492e+00 5.042917649958285065e-01 -1.123931710763235436e+01
-9.768683274021352503e-01 2.721061995725596906e-04 5.023381559652663782e+03 -4.472464411924347516e+00 4.177762079875508849e-01 -1.112344233700941487e+01
-9.765124555160142883e-01 2.884849468821464057e-04 5.906130043724898314e+03 -4.639841781532982878e+00 3.046067298487841191e-01 -1.088698736848891002e+01
-9.761565836298933263e-01 3.059185924900535681e-04 6.658076528503535883e+03 -4.975208513881841377e+00 1.769197677051558004e-01 -1.025119681065133292e+01
-9.758007117437723643e-01 3.135653027280845408e-04 4.798448558906289691e+03 -5.941951916128127564e+00 8.031370796629704045e-02 -8.970536485561220630e+00
-9.754448398576512913e-01 3.166857633134182587e-04 3.347978720757550946e+03 -7.556824969306128459e+00 9.424425296010457975e-02 -7.716223066408108622e+00
-9.750889679715303293e-01 3.145091918959592265e-04 3.827794188534610385e+03 -8.459791253270115163e+00 1.877388856772325143e-01 -7.001565940616615080e+00
-9.747330960854093673e-01 2.943787165146654499e-04 4.158241767181496471e+03 -8.999631990868973475e+00 3.486229774026947115e-01 -6.649206352898392680e+00
-9.743772241992882943e-01 2.730008529447191623e-04 4.579571377749751264e+03 -9.185156515304104374e+00 4.951312014225250913e-01 -6.523293826225868841e+00
-9.740213523131673323e-01 2.565460924245535992e-04 4.664621678177772992e+03 -9.273189679021825782e+00 5.778913757862002010e-01 -6.453941991162079006e+00
-9.736654804270463703e-01 2.421955402532309672e-04 4.681429682529505953e+03 -9.346305165336271870e+00 6.263206406767557466e-01 -6.399773934771941342e+00
-9.733096085409252973e-01 2.400575365278610209e-04 4.712725099684852466e+03 -9.404431532895083379e+00 6.458044911580886893e-01 -6.344253271842990927e+00
-9.729537366548043353e-01 2.390206626116494939e-04 4.699413539031700566e+03 -9.484505001331982044e+00 6.479556306465580340e-01 -6.272905278648047478e+00
-9.725978647686833733e-01 2.363036416141670872e-04 4.681452361434658087e+03 -9.583271003327155313e+00 6.451586561840927381e-01 -6.189662945217691892e+00
-9.722419928825623003e-01 2.396500697623836116e-04 4.665866936223275843e+03 -9.693078439251102907e+00 6.334111280480126949e-01 -6.095443944717906959e+00
-9.718861209964413383e-01 2.436215482998876881e-04 4.655458671195501665e+03 -9.818016075668275278e+00 6.161499404640371491e-01 -5.991025213904357827e+00
-9.715302491103203764e-01 2.444062344110800285e-04 4.656451059739632910e+03 -9.950518013456299826e+00 5.943798893886846901e-01 -5.875072858012090116e+00
-9.711743772241993033e-01 2.483740872034798878e-04 4.641119781458234684e+03 -1.009990756036872206e+01 5.633536435299993927e-01 -5.742721548536334097e+00
-9.708185053380783414e-01 2.544060593677836823e-04 4.613020395717090651e+03 -1.026660083850839023e+01 5.331349737906814212e-01 -5.597782312934626248e+00
-9.704626334519573794e-01 2.574636660771328868e-04 4.597611134681252224e+03 -1.043954715640230724e+01 5.022685208147882330e-01 -5.445515567521305833e+00
