# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.997979389775711878e-01 2.605803314407742965e-04 -1.843127151615433377e+03 2.783787995806195070e+00 1.264269816801335100e+00 -3.475153976441635706e+00
-9.993938169327136745e-01 2.236735661702764580e-04 -4.278385858629539143e+03 2.770262466953610669e+00 1.294893708722981041e+00 -3.262019538983944145e+00
-9.989896948878560501e-01 1.515749588079372842e-04 -4.278181233433201669e+03 1.220469898650496487e+00 1.390502386806746093e+00 -3.044296194403712796e+00
-9.985855728429985367e-01 1.883726864189344606e-04 -4.280705118603690607e+03 1.146528233567947419e+00 1.476675636618508758e+00 -3.035350626743332114e+00
-9.981814507981410234e-01 2.078427848968005150e-04 -4.217594437439939611e+03 1.097242004706750595e+00 1.553778702326087613e+00 -3.032804424745582761e+00
-9.977773287532833990e-01 2.038502409475428099e-04 -4.218117283155019322e+03 1.070186621721764597e+00 1.612759346155744566e+00 -3.032881700986727047e+00
-9.973732067084258857e-01 1.817496899159848941e-04 -4.265651058501252919e+03 1.055527783287559584e+00 1.641689323459793792e+00 -3.033136870501964122e+00
-9.969690846635683723e-01 1.445405431774812873e-04 -4.426357434196013855e+03 1.057004618206462965e+00 1.586219320848745840e+00 -3.033207048059265887e+00
-9.965649626187108590e-01 1.301390562027702298e-04 -5.183671855198559570e+03 1.041120905718359024e+00 1.703883854247103979e+00 -3.041032200593853041e+00
-9.961608405738532346e-01 1.309573207297592252e-04 -5.051317794495476846e+03 9.250250390768581799e-01 1.870166502831461353e+00 -3.139242956498587311e+00
-9.957567185289957212e-01 7.634300506785391652e-05 -4.152523374807487926e+03 3.112412327114160160e-01 2.473408149247528165e+00 -3.127830209182956622e+00
-9.953525964841382079e-01 7.061738040711969570e-05 -4.039549469631437205e+03 5.709294229653055774e-01 2.463032734933238377e+00 -2.905917938556688007e+00
-9.949484744392805835e-01 1.470784496326066500e-04 -4.087505146375202457e+03 8.792015287476950824e-01 2.358442481559146930e+00 -2.690123107259171142e+00
-9.945443523944230702e-01 2.372971993146674740e-04 -4.099701419925117079e+03 1.149567349761224655e+00 2.148191809161921206e+00 -2.554098892476674987e+00
-9.941402303495655568e-01 2.699666345335663257e-04 -4.110634864908044619e+03 1.296938606065917376e+00 1.934585467404697390e+00 -2.504666684495418405e+00
-9.937361083047079324e-01 2.447447669699388665e-04 -4.181707633338639425e+03 1.348714448999438487e+00 1.791812482365130910e+00 -2.495201150740316898e+00
-9.933319862598504191e-01 1.974721351560701694e-04 -4.258065295207733470e+03 1.351033083182485717e+00 1.715821586496225848e+00 -2.496259972610852085e+00
-9.929278642149929057e-01 1.763649037657786666e-04 -4.284137864693077063e+03 1.332862696729846919e+00 1.706153043161512839e+00 -2.498453517043757621e+00
-9.925237421701353924e-01 2.196127251443916336e-04 -4.207842504002937858e+03 1.319811694996864349e+00 1.757858536386476711e+00 -2.497326477923559107e+00
-9.921196201252777680e-01 3.021732073524411341e-04 -3.986633793620505458e+03 1.341402066558761819e+00 1.853150139985066946e+00 -2.482901649930871368e+00
-9.917154980804202546e-01 3.820044123616432282e-04 -3.988850533165128127e+03 1.430536699481549157e+00 1.978566750964341425e+00 -2.429777632693931988e+00
-9.913113760355627413e-01 4.255589776320723360e-04 -3.990301537823819672e+03 1.635834459327188073e+00 2.113304476552229527e+00 -2.312322915992426786e+00
-9.909072539907051169e-01 4.108198260776334742e-04 -3.918563951987410292e+03 1.933142412779303099e+00 2.139545615067519613e+00 -2.189176480777449196e+00
-9.905031319458476036e-01 3.436059479323336761e-04 -7.113382099135833414e+02 2.105442307904398458e+00 1.975538254055733356e+00 -2.146160725753089693e+00
-9.900990099009900902e-01 2.471021779897598870e-04 -7.112921632954003144e+02 2.088261373220127837e+00 1.780870261097537544e+00 -2.159558193116799529e+00
-9.896948878561324658e-01 2.088138011899667412e-04 -7.104195560564621701e+02 1.992211944360751552e+00 1.695306111792619363e+00 -2.176086839793248018e+00
-9.892907658112749525e-01 2.459912187230553840e-04 -8.631554682815831256e+02 1.887307611286598963e+00 1.670160185548980714e+00 -2.202857817474559443e+00
-9.888866437664174391e-01 3.003819877305830433e-04 -3.212692195518682638e+03 1.478901516020974194e+00 1.601415921668632780e+00 -2.232053641015218304e+00
-9.884825217215598148e-01 4.553363581151237291e-05 -3.775098402480988625e+03 8.949493312124797706e-01 9.002831139250349057e-01 -2.218604153709124560e+00
-9.880783996767023014e-01 1.241283740411121175e-04 -1.797120418292086470e+03 8.228904120782255527e-01 7.759094863820932275e-01 -2.200406814677078327e+00
-9.876742776318447881e-01 1.651676859571847979e-04 -1.411710072896525162e+03 8.346332892387727798e-01 6.923808599160963251e-01 -2.187163814001086504e+00
