# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.999999999999998890e-01 6.187967103655841344e-05 5.954649513095930160e+03 1.569185737256127755e+00 3.618097419353312749e-01 2.597432244715641758e+01
-9.996665555185061391e-01 9.185838065651309248e-05 2.863979307823781710e+03 1.599311399262279165e+00 3.571476018027761046e-01 2.588130836154853398e+01
-9.993331110370122783e-01 6.763134895260424244e-05 2.431644180254997082e+03 1.767796056708617725e+00 3.875245598465681396e-01 2.557669994942254021e+01
-9.989996665555184174e-01 1.056847132001536384e-04 2.725079289904270809e+03 2.255310448928404377e+00 5.269071259409667807e-01 2.509961531663083889e+01
-9.986662220740246676e-01 2.972225309716159942e-04 3.171354581183920345e+03 2.837014341570669451e+00 9.670112797163319396e-01 2.483856376508105512e+01
-9.983327775925308067e-01 2.774328692941529194e-04 3.706735710134474175e+03 2.871003474022029156e+00 1.173441390308181287e+00 2.484072028105003938e+01
-9.979993331110369459e-01 2.538651089499477874e-04 3.923716384661987831e+03 2.809990661924858024e+00 1.224140829616125803e+00 2.486306258742148145e+01
-9.976658886295430850e-01 2.062940739407425402e-04 3.923975223047521013e+03 2.747963957517281397e+00 1.245799726002660535e+00 2.488207596816934597e+01
-9.973324441480493352e-01 1.421470684619578566e-04 3.927454154299804941e+03 2.694870831467297556e+00 1.260071832660694557e+00 2.489578372328876554e+01
-9.969989996665554743e-01 8.918049436872536948e-05 3.939414993560667426e+03 2.660651271639583815e+00 1.266985789443457744e+00 2.490331167554300862e+01
-9.966655551850616135e-01 2.086007937057824218e-05 3.930440520120074325e+03 2.645297115132464238e+00 1.274595048853300661e+00 2.491028410792684156e+01
-9.963321107035677526e-01 3.495159714633406693e-05 3.862849401577270328e+03 2.613259117484080907e+00 1.270779433788100654e+00 2.492252430886007630e+01
-9.959986662220740028e-01 7.392440239301256613e-05 3.517409437397555848e+03 2.562067911368776763e+00 1.196684412275194731e+00 2.493980745566536683e+01
-9.956652217405801419e-01 1.466260119692233438e-04 1.686714199776991563e+03 2.508879667731432228e+00 9.389172617452454794e-01 2.498244292974955272e+01
-9.953317772590862811e-01 1.898864254104211142e-04 1.664019932149165470e+03 2.397422505113255831e+00 5.680797164264443921e-01 2.505339352014071608e+01
-9.949983327775924202e-01 1.702635793984437257e-04 4.053145476706910813e+03 2.307181141413646053e+00 3.832279963048307869e-01 2.511585771427868252e+01
-9.946648882960986704e-01 1.500944317955634464e-04 5.055015523116529948e+03 2.254498983784980037e+00 3.183487091883254738e-01 2.523362429909887084e+01
-9.943314438146048095e-01 7.497089401269131930e-05 4.782021287928662787e+03 2.057950686838169840e+00 2.899607742788303244e-01 2.551172314822355958e+01
-9.939979993331109487e-01 1.261011828573845425e-05 3.581743102519341846e+03 1.672327635197472961e+00 2.839954345526919943e-01 2.590943495694870791e+01
