# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998286791159842757e-01 8.846166712778777766e-03 -5.701915501955009677e+04 -4.078323270625225372e-01 2.242360079040171539e-01 -7.301640841437794904e+00
-9.994860373479528270e-01 9.312182265093069469e-03 -5.701681787006326340e+04 -5.055134141103150708e-02 2.396653735616000869e-01 -6.932720908402885129e+00
-9.991433955799212674e-01 9.447003035303871629e-03 -6.064827604637257900e+04 -1.168686546217057032e+00 3.202730532403275654e-01 -6.884453758194578832e+00
-9.988007538118897077e-01 1.001930844615699610e-02 -5.940067750107954635e+04 -1.260249068807771100e-01 2.496486661561017895e-01 -7.157424112452106968e+00
-9.984581120438582591e-01 1.006894120958979309e-02 -5.587871387008951569e+04 -5.839210700674477561e-01 2.509794375142846423e-01 -6.998324009664804279e+00
-9.981154702758266994e-01 1.000885859796290731e-02 -5.587776497925861622e+04 -4.543610599711676024e-01 2.417630413146822643e-01 -7.154592470119745862e+00
-9.977728285077951398e-01 9.385292557964318785e-03 -5.587801186092737771e+04 -2.617225561720291083e-01 3.365877401174962591e-01 -7.008498640781754219e+00
-9.974301867397636912e-01 8.991090226497184049e-03 -5.356206166833556199e+04 -7.694355245226042195e-01 1.836882949466919213e-01 -6.951493537846880955e+00
-9.970875449717321315e-01 8.236252557778329930e-03 -5.356159823228090681e+04 -3.979727654968837625e-01 3.397228940480270243e-01 -7.210847413921903204e+00
-9.967449032037005718e-01 7.229291919215923533e-03 -5.356248555813822895e+04 -2.351741139634307143e-01 1.915861874741750237e-01 -7.141158090707140360e+00
-9.964022614356691232e-01 6.367269973500232737e-03 -4.966331724625308561e+04 -5.335054256559774721e-01 2.889922169001707397e-01 -7.163929459198325134e+00
-9.960596196676375635e-01 5.056803382811845063e-03 -4.966477325106586068e+04 -1.804491237167808182e-01 3.805436464804872743e-01 -7.073194679709576604e+00
