# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998239126606797145e-01 6.606564981072730641e-05 4.299035366461181184e+03 -2.671309747672037993e+00 4.006610430107925280e-01 3.342571599495215207e+00
-9.994717379820391434e-01 6.621485242087284714e-05 4.506221470484093516e+03 -2.657015279730001289e+00 3.984827412880568853e-01 3.312165413342184284e+00
-9.991195633033985724e-01 6.641843567863784726e-05 4.514971204084136843e+03 -2.605314593334008499e+00 3.955597271286206418e-01 3.266402528852637044e+00
-9.987673886247578903e-01 6.639368151562407194e-05 4.484701444225633168e+03 -2.557767245260828215e+00 3.908420060887676795e-01 3.212832484671186872e+00
-9.984152139461173192e-01 6.646295559285267873e-05 4.518365598704322110e+03 -2.489342978866023071e+00 3.883285072054742382e-01 3.145083575559160405e+00
-9.980630392674767482e-01 6.618733228965959598e-05 4.518734618121910898e+03 -2.411298521389478644e+00 3.818687035197116386e-01 3.081930348442198042e+00
-9.977108645888360661e-01 6.568320176641711942e-05 4.514771113733224411e+03 -2.353028382512032834e+00 3.723762391764798285e-01 3.018000615760362937e+00
-9.973586899101954950e-01 6.516301849343261472e-05 4.576497828688867230e+03 -2.273812847945950288e+00 3.654223750421546901e-01 2.951133149821381974e+00
-9.970065152315549240e-01 6.433269745758190259e-05 4.590313920104602403e+03 -2.209626403967217101e+00 3.552208381279264859e-01 2.899675544823061113e+00
-9.966543405529142419e-01 6.360661677558247123e-05 4.636155745378202482e+03 -2.163798547301677644e+00 3.480267672027130832e-01 2.859407897986055769e+00
-9.963021658742736708e-01 6.274891185093810285e-05 4.688389512211821057e+03 -2.123834094869045508e+00 3.398470894251984786e-01 2.842022739432940259e+00
-9.959499911956330997e-01 6.185366853659593402e-05 4.683115225569205904e+03 -2.126802009337779076e+00 3.295823936118287834e-01 2.848275950632872533e+00
-9.955978165169924177e-01 6.116154502256232538e-05 4.817593942026755030e+03 -2.137062510162299311e+00 3.262912599226028276e-01 2.866104067736052752e+00
-9.952456418383518466e-01 6.040431541094251486e-05 4.930347891028320191e+03 -2.164455824809737194e+00 3.220551326666040715e-01 2.927052377888233803e+00
-9.948934671597112755e-01 5.989001217708973091e-05 4.750734917118819794e+03 -2.265604847778019071e+00 3.291498251765467842e-01 3.030041403923098731e+00
-9.945412924810705935e-01 5.968158313361266587e-05 4.610417042139972182e+03 -2.381875983732442581e+00 3.575844728449668608e-01 3.114797427714984135e+00
-9.941891178024300224e-01 5.909162287961802220e-05 4.722319485340052779e+03 -2.445375267089578308e+00 3.784152904574502041e-01 3.166181484602447416e+00
-9.938369431237894513e-01 5.799598668967361940e-05 4.777970514744639331e+03 -2.491956291688274039e+00 3.918088437738608820e-01 3.214979338743360504e+00
-9.934847684451488803e-01 5.693091028891275498e-05 4.629716824939097933e+03 -2.550719617587962507e+00 4.181718574158470036e-01 3.266830649812205944e+00
-9.931325937665081982e-01 5.554564105166915657e-05 4.495817655499082321e+03 -2.604769315728542090e+00 4.403353029565673094e-01 3.296588995548079826e+00
-9.927804190878676271e-01 5.415156011208689646e-05 4.488003714859158208e+03 -2.615961226972262743e+00 4.487214474338249159e-01 3.293957877031326031e+00
-9.924282444092270561e-01 5.276044818191688172e-05 4.485159424520354150e+03 -2.598884095122486304e+00 4.491720965328825921e-01 3.273926009907880630e+00
-9.920760697305863740e-01 5.141389075491200727e-05 4.524173383724949417e+03 -2.571489549412746989e+00 4.450974563805972783e-01 3.242344515911863123e+00
-9.917238950519458029e-01 4.991531867134604443e-05 4.566644227434710047e+03 -2.528849258795371924e+00 4.291778318271581294e-01 3.214221823253208488e+00
-9.913717203733052319e-01 4.809874115044856190e-05 4.548383128980918627e+03 -2.509318374113385541e+00 4.080611791349235684e-01 3.195693179319825550e+00
-9.910195456946645498e-01 4.633026785781922300e-05 4.539554689523552952e+03 -2.488294445248267817e+00 3.876124994296308857e-01 3.176789843256216717e+00
-9.906673710160239787e-01 4.441316826875770901e-05 4.484222180713766647e+03 -2.468302335589069862e+00 3.650134687988729754e-01 3.159593759861144324e+00
-9.903151963373834077e-01 4.258833618995744373e-05 4.427990140312374024e+03 -2.451298945109241068e+00 3.448363101154248156e-01 3.131364820768299584e+00
-9.899630216587427256e-01 4.078206241352269081e-05 4.406994679432849807e+03 -2.408186246116272855e+00 3.257100974996307574e-01 3.085939677116545266e+00
-9.896108469801021545e-01 3.889231877778688866e-05 4.376162192454597971e+03 -2.355120657894819836e+00 3.015617668080279867e-01 3.023747729325446887e+00
-9.892586723014615835e-01 3.691980961406919631e-05 4.397082389319818503e+03 -2.277510090009778665e+00 2.726226181974526486e-01 2.927289423706981086e+00
-9.889064976228210124e-01 3.469630770389556777e-05 4.454928130638665607e+03 -2.154145687732199388e+00 2.363809411142650529e-01 2.786474664854174055e+00
-9.885543229441803303e-01 3.240028225583075651e-05 4.576596094482747503e+03 -1.986667221438755959e+00 1.983443305170474735e-01 2.592952699855420207e+00
-9.882021482655397593e-01 3.017168112904662741e-05 5.034921384281424253e+03 -1.757960509020088713e+00 1.701586096783015700e-01 2.367481918916518602e+00
-9.878499735868991882e-01 2.808943262401823886e-05 5.481866664981886061e+03 -1.527919401576450120e+00 1.531637199983482411e-01 2.247901572803323145e+00
-9.874977989082585061e-01 2.697152502952058483e-05 5.227807626318597613e+03 -1.515330167081693880e+00 1.615384202230469302e-01 2.369309671561712349e+00
-9.871456242296179351e-01 2.724272701964339515e-05 4.698047453069351832e+03 -1.773955257013910325e+00 2.117108677161111396e-01 2.631382762788168517e+00
-9.867934495509773640e-01 2.877729421199848924e-05 4.518559520537420212e+03 -2.048983996942922214e+00 3.123122531099264410e-01 2.823994564118551320e+00
-9.864412748723366819e-01 3.060971279723327025e-05 4.576844431592107867e+03 -2.171233196745657512e+00 4.223499172862762441e-01 2.880980631664559422e+00
-9.860891001936961109e-01 3.153586231523476332e-05 4.687603700082058822e+03 -2.168642180130551544e+00 4.865609865130156586e-01 2.858120529258930897e+00
-9.857369255150555398e-01 3.172238495327458488e-05 4.742044005335261318e+03 -2.119592963055693335e+00 5.123169751232095059e-01 2.827158354376577254e+00
-9.853847508364148577e-01 3.125611063107371957e-05 4.639098156342752191e+03 -2.098290475139855005e+00 5.132400694305040423e-01 2.826246762514100563e+00
-9.850325761577742867e-01 3.073374804019657005e-05 4.610882939880479171e+03 -2.117511209755533752e+00 5.011246045623088952e-01 2.840898500618035616e+00
-9.846804014791337156e-01 3.008860222442351121e-05 4.510182427788837231e+03 -2.131831120939200019e+00 4.776484257654612375e-01 2.881384929353588031e+00
-9.843282268004930335e-01 2.945776871816541926e-05 4.186672066588389498e+03 -2.208866756087752847e+00 4.409729638115816308e-01 2.907355193298637897e+00
-9.839760521218524625e-01 2.938431087265713375e-05 4.317609819598038484e+03 -2.190651027434916909e+00 4.276048330740913617e-01 2.821549204297943536e+00
-9.836238774432118914e-01 2.857845391913297345e-05 4.564008421121984611e+03 -2.020161612050412003e+00 4.120485397533363292e-01 2.709260247540365985e+00
-9.832717027645712093e-01 2.725209562803688421e-05 5.098649876085381038e+03 -1.944379758117688262e+00 3.532281247082825759e-01 2.616214843152315783e+00
-9.829195280859306383e-01 2.618041705130831682e-05 6.152322459385062757e+03 -1.820052165574103098e+00 3.042038726570667762e-01 2.709510743601590388e+00
-9.825673534072900672e-01 2.621193682618518014e-05 7.297550941926310770e+03 -2.137888931437215589e+00 1.957293873280138430e-01 3.429908747633595656e+00
-9.822151787286494962e-01 2.410948951963483503e-05 7.297287572036372694e+03 -3.297584557428523855e+00 7.948962493685840514e-02 5.153701578410339934e+00
-9.818630040500088141e-01 1.825340126235111817e-05 5.473249962458084156e+03 -5.614935083006706407e+00 1.456495162085123529e-01 6.123982482241373759e+00
