# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998278533310379634e-01 1.034809996932501428e-04 3.819367482865655802e+03 1.458787538685486274e+00 1.184647692457775570e+00 5.628496694852024973e+00
-9.994835599931141124e-01 1.018719205814865166e-04 3.901610773891397457e+03 1.477966483322341151e+00 1.175580770633795069e+00 5.617441392396939293e+00
-9.991392666551901502e-01 1.039323958444457978e-04 3.924300827839890189e+03 1.516634246416977527e+00 1.160799198339925953e+00 5.604131647797131244e+00
-9.987949733172661881e-01 1.092175081974520106e-04 3.926109328540322167e+03 1.546067079789890775e+00 1.143849255683116573e+00 5.591521182022124670e+00
-9.984506799793423371e-01 1.170914028531027724e-04 3.940313743870060989e+03 1.578641354747053471e+00 1.125970108501556988e+00 5.579771900370589677e+00
-9.981063866414183749e-01 1.263407496375277118e-04 3.936353639715205190e+03 1.601903573021791205e+00 1.109907497694573308e+00 5.576673995754097390e+00
-9.977620933034945239e-01 1.336306864517599160e-04 3.912755535957861866e+03 1.593327979480644085e+00 1.098333366974529213e+00 5.585651462662503342e+00
-9.974177999655705618e-01 1.382037183049262727e-04 3.892366061128042020e+03 1.562254405997012263e+00 1.094890206537175725e+00 5.605826248254097699e+00
-9.970735066276467107e-01 1.400327553085283991e-04 3.847885059482031465e+03 1.505048417138314498e+00 1.101466778038176386e+00 5.639842494531433381e+00
-9.967292132897227486e-01 1.377756927373811587e-04 3.807031485965192587e+03 1.412576654822524924e+00 1.123084788312662452e+00 5.682859080710319866e+00
-9.963849199517988975e-01 1.343832425861025634e-04 3.793124382996335953e+03 1.310454039228843737e+00 1.161988414031789540e+00 5.725778977740499265e+00
-9.960406266138749354e-01 1.320336227853623581e-04 3.792858263709203129e+03 1.205727297658472530e+00 1.211487754040630804e+00 5.765200494595653424e+00
-9.956963332759510843e-01 1.313346892076987650e-04 3.816623144911168765e+03 1.099897827673474771e+00 1.261616751598622521e+00 5.796045089759729763e+00
-9.953520399380271222e-01 1.339720886006781153e-04 3.854128192003686763e+03 1.019455765958939386e+00 1.305168278335573362e+00 5.815658890669327619e+00
-9.950077466001032711e-01 1.391351643116723160e-04 3.880647735083482985e+03 9.632650870632867290e-01 1.337517046041819535e+00 5.829174201751889939e+00
-9.946634532621793090e-01 1.449521817473305683e-04 3.880221485165258855e+03 9.101450953539492739e-01 1.362262671848628592e+00 5.842764084179726147e+00
-9.943191599242553469e-01 1.517656510136806210e-04 3.853699050932762020e+03 8.381730210536254555e-01 1.382691240373534525e+00 5.859863449916383971e+00
-9.939748665863314958e-01 1.604977503591897457e-04 3.810394171938867657e+03 7.349703131752588492e-01 1.403623017547888985e+00 5.881316346433976605e+00
-9.936305732484075337e-01 1.723918309328156470e-04 3.737570462229517489e+03 5.930969670245173075e-01 1.428952787712706618e+00 5.906537623497635892e+00
-9.932862799104836826e-01 1.892047314802821885e-04 3.670066168554450542e+03 4.032706781812641084e-01 1.464575738176683517e+00 5.930469633521556538e+00
-9.929419865725597205e-01 2.071562619542183063e-04 3.672287902298578047e+03 2.049270104292136019e-01 1.504871508166578442e+00 5.943946908282716102e+00
-9.925976932346358694e-01 2.170348536221344132e-04 3.723809690830279578e+03 1.149721367519954268e-01 1.510804258998097449e+00 5.946332781367270393e+00
-9.922533998967119073e-01 2.202390100251013037e-04 3.769249375877483544e+03 1.342231913030593748e-01 1.479736831474091074e+00 5.943412426001605020e+00
-9.919091065587880562e-01 2.205127996030780237e-04 3.814556977213874688e+03 1.857606576144243404e-01 1.437679939671869356e+00 5.936009500249279647e+00
-9.915648132208640941e-01 2.171517952149319708e-04 3.859568677500751619e+03 2.620045117067815732e-01 1.391702690967743905e+00 5.925806494736955976e+00
-9.912205198829402431e-01 2.124029311527673763e-04 3.863261730069198620e+03 3.197499958948872290e-01 1.357411891221062428e+00 5.918876967608582618e+00
-9.908762265450162809e-01 2.084826586663406404e-04 3.830537952216317080e+03 3.366193469799457216e-01 1.338266314556677106e+00 5.918395281407837771e+00
-9.905319332070924299e-01 2.045094757960223082e-04 3.813322798290450919e+03 3.252974084851219527e-01 1.334846734929484802e+00 5.921193972112545723e+00
-9.901876398691684678e-01 1.989368133633434544e-04 3.813275377779139035e+03 3.125139108104351693e-01 1.346519100839696614e+00 5.924821349660341241e+00
-9.898433465312445056e-01 1.926482821048305601e-04 3.757464156840136638e+03 2.933305938668480106e-01 1.378438596040422848e+00 5.931141103467457043e+00
-9.894990531933206546e-01 1.867463884831690860e-04 3.648842109394695399e+03 2.495321753139670695e-01 1.422377217146725714e+00 5.938459187796356176e+00
-9.891547598553966925e-01 1.794767694457845948e-04 3.471683599077723557e+03 2.071783466855712519e-01 1.475410032058035226e+00 5.944262794932098082e+00
-9.888104665174728414e-01 1.724766624569251108e-04 3.260255998299740440e+03 1.510669039431222771e-01 1.547208756187283818e+00 5.947730608519463225e+00
-9.884661731795488793e-01 1.642087931509273661e-04 3.238768032489872894e+03 8.358963889341770870e-02 1.607620520906292816e+00 5.946387999623595988e+00
-9.881218798416250282e-01 1.516853842835471310e-04 3.465262785931767212e+03 -3.257479496182840578e-02 1.646410484853185974e+00 5.945293181478420230e+00
-9.877775865037010661e-01 1.402285753123334172e-04 3.676865396567757671e+03 -4.947048465979236864e-03 1.670208732572259658e+00 5.944847640115908050e+00
-9.874332931657772150e-01 1.255478265152631273e-04 3.772675063594601397e+03 -3.495389159801328555e-02 1.676250959863976986e+00 5.942234675808521160e+00
-9.870889998278532529e-01 1.086317551961637394e-04 3.844584159871516022e+03 -5.630865544054914490e-02 1.652339031461786067e+00 5.940830341162033790e+00
-9.867447064899294018e-01 8.979416978698023929e-05 3.710507739142429273e+03 -6.319466846099351665e-02 1.546469100841845190e+00 5.939436428999602668e+00
-9.864004131520054397e-01 7.488808821745183573e-05 3.251654362597198087e+03 2.835551187565638759e-02 1.374464200501811728e+00 5.931189734115116963e+00
-9.860561198140814776e-01 5.614296541258395346e-05 2.616891117266967740e+03 1.014893121206984355e-01 1.208591164307883048e+00 5.873999193898556292e+00
-9.857118264761576265e-01 4.615995836970620891e-05 2.809693152667400682e+03 3.840298939810898315e-01 1.111372630041756349e+00 5.756936919978480560e+00
-9.853675331382336644e-01 7.964305205000392449e-05 3.497650000004636240e+03 6.862408871846261693e-01 1.131952037763975794e+00 5.656463881124262905e+00
-9.850232398003098133e-01 1.092727370233869213e-04 3.670369573153666352e+03 8.437771992224272211e-01 1.145726725366624121e+00 5.607018045354245750e+00
-9.846789464623858512e-01 1.308453493743796719e-04 3.690384966909532068e+03 9.212668545101595496e-01 1.133981293251082656e+00 5.580106379611004641e+00
-9.843346531244620001e-01 1.499537353053152040e-04 3.689121878904167716e+03 9.729570277596223393e-01 1.118286730965345921e+00 5.559655103456095482e+00
-9.839903597865380380e-01 1.671692149108804581e-04 3.699556926997206574e+03 1.016492453647360961e+00 1.098029509172169016e+00 5.542256511364021421e+00
-9.836460664486141869e-01 1.827717588214388192e-04 3.747999965338071888e+03 1.051108480175660720e+00 1.084410156991479690e+00 5.528469901899649486e+00
-9.833017731106902248e-01 1.979029323202930065e-04 3.809361451653573567e+03 1.076375702378717270e+00 1.082197490291104458e+00 5.523091569764830844e+00
-9.829574797727663737e-01 2.134921356689195343e-04 3.852761829096908968e+03 1.074130017556373051e+00 1.099377496949593969e+00 5.527272754881336958e+00
-9.826131864348424116e-01 2.300368556727718460e-04 3.894071546658810803e+03 1.058037851753784953e+00 1.141586171816683537e+00 5.535445566517386062e+00
-9.822688930969185606e-01 2.462144273822811742e-04 3.926963859526797023e+03 1.036321418259670724e+00 1.196475054051465703e+00 5.548202023882597977e+00
