# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998283261802576316e-01 2.220216238517111289e-04 3.881765357366428361e+03 -1.170092653331611832e+00 1.493631256226944926e+00 9.797063159923542486e+00
-9.994849785407725618e-01 2.220866263612657795e-04 3.786467117627212247e+03 -1.248820756533127740e+00 1.509518456922421370e+00 9.804809197696716438e+00
-9.991416309012876029e-01 2.209868421045633558e-04 3.777617325764084399e+03 -1.402692666135742172e+00 1.559485234098984430e+00 9.810447630719007606e+00
-9.987982832618026441e-01 2.140242358418700363e-04 3.818556234150473301e+03 -1.566590405692919408e+00 1.508225406851218420e+00 9.813828127586493366e+00
-9.984549356223176853e-01 1.977800133467599972e-04 3.779564096960746610e+03 -1.645067344107475904e+00 1.394335595217430335e+00 9.814955128526291261e+00
-9.981115879828327264e-01 1.321475076771670904e-04 3.748317848553954718e+03 -1.629953566342621230e+00 1.889162591260899804e+00 9.820868279554673563e+00
-9.977682403433476566e-01 8.928613145563801313e-05 3.764762520783307991e+03 -1.583695543232979341e+00 2.010553489248054770e+00 9.837657349277600716e+00
-9.974248927038626977e-01 5.498153694095842550e-05 3.739171012340641028e+03 -1.538833474325739692e+00 2.098443158473186188e+00 9.850302432012357556e+00
-9.970815450643777389e-01 3.091173810484897197e-05 3.693691665832098806e+03 -1.526536598248400267e+00 2.138874903468185540e+00 9.844297772811080094e+00
-9.967381974248927801e-01 1.389224894031939476e-05 3.558339241807585040e+03 -1.560366267101154225e+00 2.135591550117044601e+00 9.806503615144562147e+00
-9.963948497854078212e-01 2.066184569361558093e-05 3.476475201245079916e+03 -1.667583952858723073e+00 2.071161654272263064e+00 9.709013566041136301e+00
-9.960515021459228624e-01 6.178673160889603159e-05 3.336675305695215684e+03 -1.954386899006941070e+00 1.798378967216738955e+00 9.595860025724313402e+00
-9.957081545064377925e-01 1.110171060752849874e-04 3.299085070895884655e+03 -2.347584491080581426e+00 1.340845949471378695e+00 9.576863752743014047e+00
-9.953648068669528337e-01 1.389549781210149806e-04 3.468071518609388477e+03 -2.570118220079524285e+00 1.164161071470998454e+00 9.644722789081528802e+00
-9.950214592274678749e-01 1.605171425253521379e-04 3.388403676706156148e+03 -2.785014757178942535e+00 1.054312414944222009e+00 9.753175473041162391e+00
-9.946781115879829160e-01 1.780828613726573176e-04 3.243626030685019941e+03 -3.052131717578251191e+00 9.475158024977815563e-01 9.883313982285823585e+00
-9.943347639484979572e-01 1.913982742873875206e-04 3.564790025520724157e+03 -3.272051799719874143e+00 8.871112612679742382e-01 9.968755896453165732e+00
-9.939914163090129984e-01 1.982009503387587436e-04 4.467116345170192290e+03 -3.339360850463490404e+00 8.862707766144002353e-01 9.978537576607498849e+00
-9.936480686695279285e-01 1.961562154754480417e-04 5.578627898414955780e+03 -3.303060864772298988e+00 9.141833186294723301e-01 9.942156383237481521e+00
-9.933047210300429697e-01 1.866269443696672492e-04 5.762618172705873803e+03 -3.221464151216745453e+00 9.625889625244279380e-01 9.897047087072573746e+00
-9.929613733905580109e-01 1.726447971041376959e-04 5.012914156500872195e+03 -3.150744718031321057e+00 1.014182992113292547e+00 9.867465817881656776e+00
-9.926180257510730520e-01 1.566932372378462151e-04 4.358108504244871256e+03 -3.115247534355630510e+00 1.055469745584043828e+00 9.862863480080253709e+00
