# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 7.615462740532773686e-06 5.157151463781494385e+03 1.493285696882075131e+00 6.351250311970210172e-01 1.385544988164430835e+00
-9.996527777777778345e-01 3.645442076588546045e-06 4.947468852971178421e+03 1.494487914515354454e+00 6.344292614956551501e-01 1.385999922284001373e+00
-9.993055555555555580e-01 5.468766555783454618e-06 4.947761715962857124e+03 1.492156617175234068e+00 6.327712351601055829e-01 1.386867025848572021e+00
-9.989583333333333925e-01 5.876560702204183803e-06 4.945734597357398343e+03 1.492334500107269424e+00 6.300162296653130101e-01 1.388384813020113961e+00
-9.986111111111111160e-01 1.891298822358707194e-06 4.941673596483809888e+03 1.488400159681774637e+00 6.271064619133325246e-01 1.390098890409286136e+00
-9.982638888888889506e-01 7.776757008407288727e-06 4.947342265806616524e+03 1.488092480004989726e+00 6.234759755542289561e-01 1.391448678913469239e+00
-9.979166666666666741e-01 3.035440698790759697e-06 4.942864058459448643e+03 1.485074153724343926e+00 6.204468993630783968e-01 1.393450876883818745e+00
-9.975694444444445086e-01 8.340091174011394660e-06 4.940476482432381090e+03 1.483164222183191772e+00 6.181998888618974730e-01 1.395126492492858583e+00
-9.972222222222222321e-01 7.715230030780520674e-06 4.941109076894785176e+03 1.480958768373294765e+00 6.169940615836599918e-01 1.396125410029529279e+00
-9.968750000000000666e-01 5.972136226768696669e-06 4.943289384216229337e+03 1.480712870079495147e+00 6.164349993283491091e-01 1.396657565293052849e+00
-9.965277777777777901e-01 1.102569265633913568e-05 4.940149324299558430e+03 1.479654280369384178e+00 6.168515493851991494e-01 1.396853082776284838e+00
-9.961805555555556246e-01 3.020649518097281084e-06 4.942940588972093792e+03 1.480233799157764096e+00 6.188567261724146062e-01 1.396045025468440004e+00
-9.958333333333333481e-01 1.161341960139253191e-05 4.940848665946536130e+03 1.481637531143131126e+00 6.208881025979089419e-01 1.394670707155435396e+00
-9.954861111111111827e-01 4.500258760567905350e-06 4.947638808024321406e+03 1.483611114179915313e+00 6.235093877418284025e-01 1.392402795658560288e+00
-9.951388888888889062e-01 1.029088037052749883e-05 4.944949424985627047e+03 1.487220945717301124e+00 6.246160970470359119e-01 1.390214419558788217e+00
-9.947916666666667407e-01 8.386984602012958931e-06 4.947216714263080576e+03 1.489003722894065351e+00 6.259306354817353313e-01 1.387508561624361869e+00
-9.944444444444444642e-01 5.989433346578822757e-06 4.945840315681190987e+03 1.493896935696681805e+00 6.259180301303672866e-01 1.384413857483738797e+00
-9.940972222222222987e-01 1.161234668302525917e-05 4.949593136915556897e+03 1.496640999041452202e+00 6.255564453173382278e-01 1.381048044530829744e+00
-9.937500000000000222e-01 1.372389866581483313e-06 4.949733556865539867e+03 1.502201767028944923e+00 6.237678348340462975e-01 1.378012295665145048e+00
-9.934027777777778567e-01 1.052115975075441673e-05 4.952051914406021751e+03 1.504128295331791376e+00 6.212154030269599891e-01 1.375659306991799058e+00
-9.930555555555555802e-01 7.625135213974317222e-06 4.946406012721854495e+03 1.507992480922683676e+00 6.176888532390644171e-01 1.374467833197392297e+00
-9.927083333333334147e-01 5.875870571746249592e-06 4.942086520971080972e+03 1.507061076591339033e+00 6.142480561008517581e-01 1.373778743776736144e+00
-9.923611111111111382e-01 1.059540554511620394e-05 4.934760356578862229e+03 1.509676665213590008e+00 6.109931439985889501e-01 1.373410808758800394e+00
-9.920138888888889728e-01 2.984612047993513270e-06 4.927633712055108845e+03 1.507965465193835675e+00 6.083158689176851874e-01 1.372769884586267475e+00
