# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 4.026856442309075911e-05 4.021611613440168639e+03 -3.174066672026248925e-01 1.007450900558906515e+00 -2.280388166412464201e+01
-9.996630727762804147e-01 3.853499793388137119e-05 4.065581651888125634e+03 -3.158931580109025639e-01 9.806823411617325847e-01 -2.280589073585783666e+01
-9.993261455525607184e-01 3.494385099080060751e-05 4.103364235742362325e+03 -3.101246796835896991e-01 9.088239321834299389e-01 -2.281068089600200466e+01
-9.989892183288410221e-01 3.022666749067482884e-05 4.157773895549902591e+03 -2.997607808434720189e-01 8.097853548573205051e-01 -2.281877143272947706e+01
-9.986522911051213258e-01 2.618262537813415328e-05 4.231697584880043905e+03 -2.855353030048324858e-01 7.092139563616640663e-01 -2.283002004418883502e+01
-9.983153638814016295e-01 2.381687240508616055e-05 4.306708803908310074e+03 -2.688176835902162387e-01 6.193114314141746624e-01 -2.284367018844240960e+01
-9.979784366576820442e-01 2.229375979081371146e-05 4.369175854894398981e+03 -2.508708455495132772e-01 5.436952676711566124e-01 -2.285993741437921045e+01
-9.976415094339623479e-01 2.150516293393060424e-05 4.415639093524693635e+03 -2.299305928045931591e-01 4.788347090646142279e-01 -2.287966860592297280e+01
-9.973045822102426516e-01 2.149613642638619843e-05 4.452678650276066037e+03 -2.056591947731613024e-01 4.224264189302178729e-01 -2.290470568705649157e+01
-9.969676549865229553e-01 2.181944957414177499e-05 4.484548268010890752e+03 -1.743768706703491267e-01 3.722798153738414717e-01 -2.293662827684298122e+01
-9.966307277628032590e-01 2.266240791274423954e-05 4.509504540558589724e+03 -1.364674225754046455e-01 3.279034257254949125e-01 -2.297648806071015670e+01
-9.962938005390835627e-01 2.403485837133135074e-05 4.538674270929325758e+03 -8.956135287279035073e-02 2.900699959439966835e-01 -2.302632863153773002e+01
-9.959568733153639775e-01 2.548867482065308288e-05 4.560362768204081476e+03 -3.187729126399856117e-02 2.568669282967480094e-01 -2.308557672669752492e+01
-9.956199460916442812e-01 2.718030174245197869e-05 4.573034443020642357e+03 3.348928765954801989e-02 2.293479048423510136e-01 -2.315487872761701738e+01
-9.952830188679245849e-01 2.905732511170152683e-05 4.591956033091521022e+03 1.108983100022710999e-01 2.066558251923190370e-01 -2.323555508449756246e+01
-9.949460916442048886e-01 3.075709700466342032e-05 4.568338512724362772e+03 1.987379703511813200e-01 1.868445953646557800e-01 -2.332529160209002939e+01
-9.946091644204851923e-01 3.234251808464392111e-05 4.534297645468831433e+03 2.938965566790931461e-01 1.714624107868425451e-01 -2.343136386456389886e+01
-9.942722371967656070e-01 3.415050839845803349e-05 4.520177834488133158e+03 4.143043282027526475e-01 1.593009978946538230e-01 -2.355930441254389152e+01
-9.939353099730459107e-01 3.563085213985364382e-05 4.335672394049321156e+03 5.533032237888574345e-01 1.499640986942715748e-01 -2.370701641550657257e+01
-9.935983827493262144e-01 3.717834187698993602e-05 3.909356043327959924e+03 7.132838333161106714e-01 1.478141559095824953e-01 -2.390928495073921312e+01
-9.932614555256065181e-01 4.002754395418775166e-05 2.650071786246816373e+03 9.623518418234474625e-01 1.548192075358260089e-01 -2.424236324867462500e+01
-9.929245283018868218e-01 4.604878820044079157e-05 4.153900394654767297e+03 1.387238311480965214e+00 1.858684431636843659e-01 -2.495659771452871567e+01
-9.925876010781671255e-01 9.121782974534336087e-05 5.488713009947130558e+03 2.413580236797247647e+00 6.971096570697430383e-01 -2.555336746852816532e+01
-9.922506738544475402e-01 8.635732256049343859e-05 4.240512877284758360e+03 2.654710950903664823e+00 1.285802338446321080e+00 -2.564912209477082783e+01
-9.919137466307278439e-01 8.609707832336943643e-05 4.154134569259354976e+03 2.678307085238243346e+00 1.285354958920639445e+00 -2.565232143910823481e+01
-9.915768194070081476e-01 9.009117871677701562e-05 4.150631793674633627e+03 2.677471076432256236e+00 1.182733930998864258e+00 -2.565407866875820631e+01
-9.912398921832884513e-01 9.479418172209879529e-05 4.493964654307740602e+03 2.687380979020776106e+00 8.792117316120581227e-01 -2.565775684682759206e+01
-9.909029649595687550e-01 7.143167075296230205e-05 5.143518714912075666e+03 2.693035929413755802e+00 4.542285356306070554e-01 -2.561654475866060920e+01
