# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.999999999999998890e-01 2.090158617224151889e-04 1.423799458518326355e+04 -9.584414834513629300e-01 7.607779206348236345e-01 -6.781736990674154697e+01
-9.996363636363635452e-01 1.574535274186351854e-04 5.639561632884934625e+03 -9.724028227179474237e-01 7.421102126127155918e-01 -6.779166485334366143e+01
-9.992727272727272014e-01 1.651965753585976475e-04 -6.236939472934878722e+03 -1.028434632569594553e+00 6.548017625668214325e-01 -6.808571919846768594e+01
-9.989090909090908577e-01 3.487617316821592004e-04 -9.498088722889257042e+03 -2.349002632001364888e-01 1.431386198802002963e-01 -6.778053683934473383e+01
-9.985454545454545139e-01 3.180845414882847656e-04 -6.353904907296840975e+03 -1.487481547170495855e+00 5.248678454470857568e-01 -6.720569330163206700e+01
-9.981818181818181701e-01 4.670403391888020461e-04 -2.708195937668639999e+03 -1.383384867237995586e+00 2.548709380924927270e+00 -6.723934370910390612e+01
-9.978181818181817153e-01 5.515208662954901005e-04 -6.541595831799884309e+02 -1.355912879044913533e+00 2.526742383905844491e+00 -6.723137689510534187e+01
-9.974545454545453715e-01 6.437070882512891789e-04 -7.049356594423074966e+02 -1.364298406838586830e+00 2.511094693958891622e+00 -6.724944834651360281e+01
-9.970909090909090278e-01 7.398427624911703502e-04 -7.301670943189479885e+02 -1.400564183282900554e+00 2.504664424368329811e+00 -6.729540149820351758e+01
-9.967272727272726840e-01 8.531774504150987665e-04 -8.208005674707715116e+02 -1.478448427302106349e+00 2.496486056103472517e+00 -6.737901148770353643e+01
-9.963636363636363402e-01 9.765075131193348299e-04 -3.759830776682698797e+03 -1.609364706491916541e+00 2.486310879050223299e+00 -6.755882804561738908e+01
-9.959999999999998854e-01 1.067547940103107411e-03 -7.233232441005646251e+03 -1.931011795587204594e+00 2.595037228709911492e+00 -6.721434350347914233e+01
-9.956363636363635417e-01 9.093586366297226565e-04 -4.817783771279234315e+03 -8.260446438845189254e-01 6.099761316578340420e-01 -6.672573311065924884e+01
-9.952727272727271979e-01 9.351788017019599690e-04 -1.152764412308452847e+03 -8.665801032858729824e-01 7.486101347532413408e-01 -6.671405822247606920e+01
-9.949090909090908541e-01 1.010695403901118970e-03 -5.673603121500452744e+02 -8.531005678457547203e-01 7.684413374268882491e-01 -6.671757304927696453e+01
