# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998123475323701381e-01 1.738667042633659354e-03 -1.094713534162409815e+04 3.755718487659634452e-01 6.166218645252020680e-01 -4.890862006649943083e+01
-9.994370425971101923e-01 1.044481486460219644e-03 -1.661173281850549756e+03 4.837893240024397912e-01 1.321552721538023834e+00 -4.890493505378723427e+01
-9.990617376618502465e-01 1.595295848711413911e-03 -3.911439455866106982e+03 9.599423694097586335e-02 5.353583294224861788e-01 -4.782496073092701749e+01
-9.986864327265904118e-01 1.608391994100028888e-03 -6.794282640053448631e+03 -2.304104266448951055e+00 2.093502985925449256e+00 -4.691091013449674563e+01
-9.983111277913304660e-01 1.600197325900767995e-03 -7.870976176167065205e+03 -2.777214796224634963e+00 1.997769014447017044e+00 -4.705104335302749519e+01
-9.979358228560706312e-01 1.717672248006966475e-03 -6.790524320053111296e+03 -2.883650346819927268e+00 2.578451698012680815e+00 -4.815932779874786718e+01
-9.975605179208106854e-01 7.923622212659244338e-04 -3.840044883107819714e+03 -5.452875817466747321e+00 1.156885289310498388e+00 -4.913675047515456384e+01
-9.971852129855508506e-01 8.920067585686825701e-04 -2.584325303705481474e+03 -5.994025614852250605e+00 9.890818929740262666e-01 -4.916039421850178570e+01
-9.968099080502909048e-01 7.312028891275380036e-04 -4.677552568032705494e+03 -5.511851133303188988e+00 6.064112907853154155e-01 -4.900733081329873642e+01
-9.964346031150309591e-01 1.056912184650752066e-03 -4.052405425304238179e+03 -6.206827433933452376e+00 6.422357100565451171e-01 -4.886104329958844517e+01
-9.960592981797711243e-01 6.928149123148680038e-04 -5.781946250562784371e+03 -5.859049689833222274e+00 1.078442377538328945e+00 -4.917216414533348967e+01
-9.956839932445111785e-01 2.857632760542522872e-04 -9.606489825048985949e+03 -5.131834657129817678e+00 6.054978925603252682e-01 -4.901769563028288701e+01
-9.953086883092513437e-01 8.960371697022712512e-04 -6.302701210704915866e+03 -5.925653397433882752e+00 8.764502228642145898e-01 -4.877768124482893342e+01
-9.949333833739913979e-01 6.236082551841167811e-04 -6.537620678531555313e+03 -5.655816706387776449e+00 1.274017270044199623e+00 -4.883078018533508668e+01
-9.945580784387315632e-01 1.003798709741087706e-03 -7.250541316209197248e+03 -5.883096450325842497e+00 8.427010658301459234e-01 -4.893373866095053160e+01
-9.941827735034716174e-01 8.538474405463007460e-04 -5.028734938574920307e+03 -5.473774359544039569e+00 1.272318232486740142e+00 -4.904655961220082361e+01
-9.938074685682116716e-01 7.849016367671630447e-04 -4.451393257638370414e+03 -5.632722045060646998e+00 1.314638975857448155e+00 -4.903240720024361821e+01
