# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 1.277562950562063297e-04 7.773653457476204494e+04 8.504546276772577684e-01 1.835429142977626826e+00 2.185787651608552906e+01
-9.996244836650394205e-01 1.791985326619635426e-04 1.591197836727017420e+04 1.028028234894797110e+00 2.138222776315734652e+00 2.176707217704778330e+01
-9.992489673300788411e-01 8.586648008456988421e-05 -4.957547629799085371e+03 6.037131243951805448e-01 2.460064584807692523e+00 2.225434668535822524e+01
-9.988734509951182616e-01 1.628154050523308340e-04 -2.773111162102507933e+03 2.152239969653519491e+00 1.968290745807716124e+00 2.309459757370378696e+01
-9.984979346601576822e-01 1.210735435816513413e-04 -9.892250978432932698e+02 3.386771925844124009e+00 5.108729728487642063e-01 2.322235579921020943e+01
-9.981224183251971027e-01 8.297774881172360775e-05 -2.767804336111592875e+03 3.641704627282229989e+00 7.855276649867320993e-01 2.309610448096603008e+01
-9.977469019902365233e-01 1.068625468457234018e-04 -1.148136641192055322e+03 3.684306610392042991e+00 7.345650414656442750e-01 2.220760699831217266e+01
-9.973713856552759438e-01 1.035825313996322091e-04 -4.076002514476616625e+02 6.038197030283854794e+00 2.358375890705539213e+00 2.137918817195074084e+01
-9.969958693203154754e-01 8.337905406202226317e-05 -9.995077270306812807e+02 6.165251810783454189e+00 2.024030730895776120e+00 2.144487498710203255e+01
-9.966203529853548959e-01 1.102393206211323449e-04 -1.800116498326395458e+03 6.259654333961831796e+00 2.110332924627713158e+00 2.143815013788026391e+01
-9.962448366503943165e-01 8.426929437566081291e-05 -1.361692124289862022e+03 6.153012007417724583e+00 1.966426469805211408e+00 2.144421922733497965e+01
-9.958693203154337370e-01 1.088335935024196477e-04 -1.385411511945328130e+03 6.326665945884109021e+00 1.969385557491812211e+00 2.150199929012328681e+01
-9.954938039804731575e-01 1.703297504633724503e-04 -1.957575154522412049e+03 6.451977350491973517e+00 2.327961368359457328e+00 2.150192586937771466e+01
-9.951182876455125781e-01 1.776296812745426694e-04 -1.255093420096130103e+03 6.380955231895200086e+00 2.232071728376821440e+00 2.150940618674888327e+01
