# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998321866084913800e-01 2.288756511039144567e-04 -1.577608278191247109e+03 -5.059596350924645547e-01 9.469753136108270963e-01 7.807822276771599235e+00
-9.994965598254741401e-01 1.856226942117875621e-04 -1.831338079208739373e+03 -3.325780432246864260e-01 9.468550262832780007e-01 7.662343392156151012e+00
-9.991609330424569002e-01 2.357853012023474804e-04 -2.042143507254184669e+03 -7.918584587704297767e-03 1.022096538568093349e+00 7.505620586343155765e+00
-9.988253062594395493e-01 3.771914305820289900e-04 -2.030432871835638252e+03 2.293748186536709310e-01 1.147988374294060643e+00 7.424582690308129784e+00
-9.984896794764223094e-01 4.717588380104494636e-04 -1.794118274181983679e+03 3.227371682523169083e-01 1.223882488218855702e+00 7.403349396211913458e+00
-9.981540526934049584e-01 5.112749133134289383e-04 -1.484494106236484186e+03 3.349663656064205131e-01 1.233509359887740020e+00 7.409966377445416086e+00
-9.978184259103877185e-01 5.007216670242205583e-04 -1.328720962045402757e+03 2.824115897827857991e-01 1.180034092659475897e+00 7.443380518899100906e+00
-9.974827991273704786e-01 4.516462332568635775e-04 -1.508338063622261870e+03 1.526208366308616227e-01 1.052166180616596947e+00 7.501488844080355989e+00
-9.971471723443531276e-01 4.271467053607450656e-04 -1.763631965512340230e+03 1.789933246740827572e-02 9.056757138972854060e-01 7.550821029454912292e+00
-9.968115455613358877e-01 4.314420108544284472e-04 -1.804638723732368817e+03 -3.376386150262801478e-02 7.904672028441563914e-01 7.555722885366790820e+00
-9.964759187783185368e-01 4.356923737707829353e-04 -1.752604890601290435e+03 -2.377908733076088306e-03 7.205212938034634140e-01 7.515552651198778022e+00
-9.961402919953012969e-01 4.354601067463109362e-04 -1.727388451298358632e+03 7.515101419583876396e-02 6.994541507929323831e-01 7.452830610541923306e+00
-9.958046652122840570e-01 4.331791607586260367e-04 -1.737180063300062102e+03 1.629510684682588528e-01 7.114566397907323703e-01 7.386826595855989552e+00
-9.954690384292667060e-01 4.316780031580220848e-04 -1.783704337866817696e+03 2.485372683821412965e-01 7.607247063511142215e-01 7.330315093097469870e+00
-9.951334116462494661e-01 4.268070305253347774e-04 -1.841287550482888491e+03 3.150795765026959128e-01 8.225167836979783154e-01 7.293775787874057670e+00
-9.947977848632321152e-01 4.141766482254891145e-04 -1.896132313819939100e+03 3.516468242203839023e-01 8.711739878476021381e-01 7.278365713158507333e+00
-9.944621580802148753e-01 3.968303772487123378e-04 -1.956306981884591323e+03 3.608723244313967182e-01 8.987985477540904045e-01 7.276718242734903086e+00
-9.941265312971976353e-01 3.839429356904655566e-04 -1.993979867981247025e+03 3.566226712574614988e-01 8.993243157726824588e-01 7.276755212205859635e+00
-9.937909045141802844e-01 3.840014467129953960e-04 -1.982581033393162443e+03 3.607562892341662497e-01 8.784852794224194961e-01 7.269876814256191366e+00
