# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998564661977896728e-01 3.047361173004225669e-05 -2.517324929059866008e+03 2.208678506941271102e+00 5.135450711735639606e-01 -1.311979475413845631e+00
-9.995693985933687964e-01 4.531717832728267547e-05 -2.088345852156659930e+03 2.343117637570665490e+00 4.993328209731811573e-01 -1.478074334395959699e+00
-9.992823309889479200e-01 6.249300049908510706e-05 -2.391912382232078471e+03 2.588124539470314289e+00 4.910517562990536211e-01 -1.701906399805289016e+00
-9.989952633845271546e-01 7.751516409148365215e-05 -2.626943355955359948e+03 2.851860267748057343e+00 5.086576616579342458e-01 -1.901741358171357366e+00
-9.987081957801062781e-01 9.122036196750433416e-05 -2.557608854952208276e+03 3.043179341160695106e+00 5.476396308650217648e-01 -2.027807481276975299e+00
-9.984211281756854017e-01 1.055131663031521889e-04 -2.422974549447297704e+03 3.142779656488897011e+00 5.958857505758065054e-01 -2.079932507136111663e+00
-9.981340605712646363e-01 1.190443042932389563e-04 -2.393953825633097495e+03 3.165996785988117068e+00 6.489466450649007401e-01 -2.076041778982868902e+00
-9.978469929668437599e-01 1.290870409041791113e-04 -2.486845202615917060e+03 3.132111450041566325e+00 7.069237330417521559e-01 -2.038895872711445900e+00
-9.975599253624228835e-01 1.326627486351898081e-04 -2.535373497931282145e+03 3.069911384524464104e+00 7.693887633202135534e-01 -1.997394992596279284e+00
-9.972728577580021181e-01 1.308963673163499454e-04 -2.360507710314187989e+03 3.020203310819642883e+00 8.306917178186026263e-01 -1.978276260308353240e+00
-9.969857901535812417e-01 1.291637447736326686e-04 -2.128507480614858650e+03 3.016451094710037584e+00 8.814703825533173331e-01 -1.990793510850935366e+00
-9.966987225491603652e-01 1.303359268298493097e-04 -2.049604079303586332e+03 3.059790906882889683e+00 9.112620995787672484e-01 -2.019367974105333641e+00
-9.964116549447395998e-01 1.292964511377171527e-04 -2.025827972487750685e+03 3.108071801487291008e+00 8.994140202793237115e-01 -2.034504462756506538e+00
-9.961245873403187234e-01 1.186476675879887324e-04 -1.881539365450409605e+03 3.109179260351108809e+00 8.293247787196528220e-01 -2.010804338228631583e+00
-9.958375197358978470e-01 1.007849281730154457e-04 -1.589784299145932437e+03 3.037975492101944397e+00 7.210489882191669642e-01 -1.936495883965033027e+00
-9.955504521314770816e-01 8.352698321125586009e-05 -1.349028170034765935e+03 2.904137228600453202e+00 6.227578394200194989e-01 -1.819768707918251405e+00
-9.952633845270562052e-01 7.067968646243140537e-05 -1.399433690224445400e+03 2.740489520829321179e+00 5.599995274283792179e-01 -1.682000289619665967e+00
-9.949763169226353288e-01 5.983706452869296628e-05 -1.948410251446675147e+03 2.572169277989702074e+00 5.294062633804749174e-01 -1.540400849705282571e+00
-9.946892493182145634e-01 4.982919689259590959e-05 -2.882093094684279095e+03 2.409282590935219126e+00 5.212451851695723004e-01 -1.405271557697104878e+00
-9.944021817137936869e-01 4.023338534195951906e-05 -2.744998712707058985e+03 2.259755420173248375e+00 5.270368394350956054e-01 -1.286817912483917414e+00
-9.941151141093728105e-01 3.238903821611606042e-05 -1.807276459235768471e+03 2.135681369494438098e+00 5.393410597946933782e-01 -1.203123176062781408e+00
-9.938280465049520451e-01 2.793736497221312699e-05 -1.299492458874428849e+03 2.065577872530522718e+00 5.493560266562665939e-01 -1.194418299254862870e+00
-9.935409789005311687e-01 2.769747530908420825e-05 -1.183329049350642890e+03 2.115694320796258410e+00 5.477820751795773324e-01 -1.347869275695601221e+00
-9.932539112961102923e-01 3.265891100833938842e-05 -1.952312872714939431e+03 2.425130015613587098e+00 5.542498737423646737e-01 -1.684867360703561356e+00
-9.929668436916894159e-01 5.197806115264929917e-05 -2.838035019251489757e+03 2.907123146704686967e+00 6.510707518835676666e-01 -1.993038664927846870e+00
-9.926797760872686505e-01 7.379135756895671510e-05 -2.767604172932957681e+03 3.166736996152714756e+00 7.402579526819252909e-01 -2.137973588313833329e+00
-9.923927084828477740e-01 8.758042430152265323e-05 -2.329929651910666507e+03 3.279651023635635099e+00 7.784800334000027133e-01 -2.195012440683309141e+00
-9.921056408784268976e-01 9.763174302633524366e-05 -2.128334727743428630e+03 3.322789616907904087e+00 8.032768085708955619e-01 -2.209065819584921986e+00
-9.918185732740061322e-01 1.050554595000490566e-04 -2.090007479167380552e+03 3.319034851387374196e+00 8.345553152066488289e-01 -2.195247198284774104e+00
-9.915315056695852558e-01 1.091590614822203866e-04 -2.110282011705230616e+03 3.281760328977349594e+00 8.789897679745352077e-01 -2.164732550782635823e+00
-9.912444380651643794e-01 1.090870722780820190e-04 -2.102867100377949555e+03 3.225329037170231228e+00 9.346813533133376817e-01 -2.133680756787333710e+00
-9.909573704607436140e-01 1.065053262938161691e-04 -2.043149034222572254e+03 3.181387758559792722e+00 9.976215586138535985e-01 -2.120521854913780313e+00
-9.906703028563227376e-01 1.047844101324733982e-04 -1.993225536661380374e+03 3.180994254017479150e+00 1.055803180745593428e+00 -2.129289102072184026e+00
-9.903832352519018611e-01 1.019214850021416268e-04 -1.997975516259045889e+03 3.217028471006019075e+00 1.085170158391644657e+00 -2.150502220071512038e+00
-9.900961676474810957e-01 9.574690767331770673e-05 -2.028595306478009434e+03 3.269899809073322672e+00 1.070009297350528410e+00 -2.176865886083951818e+00
-9.898091000430602193e-01 8.484267558006792012e-05 -2.046023626006551694e+03 3.328321074813565428e+00 1.011199674342825983e+00 -2.205014888167494913e+00
-9.895220324386393429e-01 7.162506634478141374e-05 -2.062157707553947148e+03 3.381536319400065604e+00 9.248222977782389886e-01 -2.227807080085086877e+00
-9.892349648342185775e-01 6.027665745996793422e-05 -2.135545843114439776e+03 3.410333736556756534e+00 8.361062199927240535e-01 -2.229479676365405449e+00
-9.889478972297977011e-01 5.504159150273003979e-05 -2.289663420033683451e+03 3.389464004595208912e+00 7.646620021598814487e-01 -2.192129972121150683e+00
-9.886608296253768247e-01 5.431280987679991856e-05 -2.432862202729145793e+03 3.305334495723293742e+00 7.196127922027347745e-01 -2.114246601082163668e+00
-9.883737620209560593e-01 5.495802387915377246e-05 -2.343431400284217489e+03 3.178938484682773513e+00 7.076747183390258433e-01 -2.028170838475481741e+00
-9.880866944165351828e-01 5.690649480999531861e-05 -2.014459141410862458e+03 3.077482372959817969e+00 7.324845261013556152e-01 -1.980256120556407762e+00
-9.877996268121143064e-01 6.343916456824886683e-05 -1.773420832268073809e+03 3.052283938828756149e+00 7.838556631213707826e-01 -1.982831068468033475e+00
-9.875125592076935410e-01 7.316480601784328196e-05 -1.761020844558910085e+03 3.086010892758218827e+00 8.355689436557500738e-01 -2.015432031354197573e+00
-9.872254916032726646e-01 8.243015057023154394e-05 -1.921798475747197244e+03 3.147607987861729129e+00 8.658392755842901911e-01 -2.061678845097844270e+00
-9.869384239988517882e-01 8.909864594090396159e-05 -2.281511298339926725e+03 3.226584730487242592e+00 8.732025054656211704e-01 -2.117704891597458339e+00
-9.866513563944309118e-01 9.325155344356302436e-05 -2.517301249838903459e+03 3.321350296105713085e+00 8.711884607713021866e-01 -2.180796115189488571e+00
-9.863642887900101464e-01 9.546428552619300016e-05 -2.305266215723079767e+03 3.422772216978487325e+00 8.744862549762448811e-01 -2.242620298298556580e+00
-9.860772211855892699e-01 9.655887170045717078e-05 -2.001675669408305112e+03 3.513732311218717541e+00 8.895799697917433635e-01 -2.292242188595973840e+00
-9.857901535811683935e-01 9.759792168731740429e-05 -1.896901806009881284e+03 3.578684342769780535e+00 9.125321838577652445e-01 -2.322097249099668748e+00
-9.855030859767476281e-01 9.912772761735803590e-05 -1.901236463581424914e+03 3.609428111339105349e+00 9.343915797230276654e-01 -2.330370172629552261e+00
-9.852160183723267517e-01 1.019783586566000704e-04 -1.936947638714662389e+03 3.605622864925478677e+00 9.461821699159584931e-01 -2.320327719938288791e+00
-9.849289507679058753e-01 1.057138542408291785e-04 -1.964485002590904514e+03 3.575144247754917792e+00 9.432245321480039468e-01 -2.299882585528521428e+00
-9.846418831634851099e-01 1.101896777441220391e-04 -1.978680640982038312e+03 3.535860189553256205e+00 9.257128862805090730e-01 -2.281073633950400303e+00
-9.843548155590642335e-01 1.134894692416634805e-04 -2.004818234805785778e+03 3.511659464167172562e+00 8.967161197095356862e-01 -2.275792478122281803e+00
-9.840677479546433570e-01 1.154400057144145433e-04 -2.059697996431287720e+03 3.518049843331771953e+00 8.581945964226280754e-01 -2.290445311846569520e+00
-9.837806803502225916e-01 1.146112466278114935e-04 -2.123495789464741392e+03 3.556772309634459894e+00 8.099156339344144584e-01 -2.323821646018222165e+00
-9.834936127458017152e-01 1.119687696188200040e-04 -2.172409400052791170e+03 3.616862467178745266e+00 7.549861986982930873e-01 -2.366617463400977339e+00
-9.832065451413808388e-01 1.066489139917197241e-04 -2.221106914520205464e+03 3.677492764503179856e+00 7.005584383350960120e-01 -2.402960517883812042e+00
-9.829194775369600734e-01 9.935717191794962071e-05 -2.321790269936742334e+03 3.714812418450677889e+00 6.518452694101988243e-01 -2.412741122301159447e+00
-9.826324099325391970e-01 8.858738103946473506e-05 -2.548588495007110396e+03 3.703530162661246461e+00 6.083047245315268414e-01 -2.372183113952827771e+00
-9.823453423281183206e-01 7.405117304121410198e-05 -2.923473776854339121e+03 3.615612264792679831e+00 5.668138565866140954e-01 -2.252300970342516973e+00
-9.820582747236975552e-01 5.721517432138739661e-05 -3.117250638888265712e+03 3.416923206888825781e+00 5.333909956576337041e-01 -2.038755872864391971e+00
-9.817712071192766787e-01 5.132201772929232580e-05 -2.665353494416179728e+03 3.115591679116890056e+00 5.368441342752170442e-01 -1.797172056145525776e+00
-9.814841395148558023e-01 6.509534649224670477e-05 -1.976690563670717438e+03 2.855277819439965281e+00 5.981501072646400186e-01 -1.640953115352096869e+00
-9.811970719104350369e-01 8.356906361161147421e-05 -1.718625463250416487e+03 2.747889810963402013e+00 6.871670881263556296e-01 -1.601106575357953421e+00
-9.809100043060141605e-01 9.869149526511291834e-05 -1.770745852912731607e+03 2.759596855666577309e+00 7.761456831126541944e-01 -1.630622275445409830e+00
-9.806229367015932841e-01 1.090162490829031623e-04 -1.840725037772375345e+03 2.829636078581739600e+00 8.575711665571188469e-01 -1.687639103185017309e+00
-9.803358690971724076e-01 1.145558047486060546e-04 -1.891050953625722286e+03 2.927534091526066806e+00 9.330635015252117803e-01 -1.752261748351701787e+00
-9.800488014927516423e-01 1.166937400407840129e-04 -1.951302374419940406e+03 3.037032984314898432e+00 1.005119289334654331e+00 -1.810978592691169897e+00
-9.797617338883307658e-01 1.171450722592649006e-04 -2.006222161913196260e+03 3.134499321923665427e+00 1.070662897213650044e+00 -1.852693028699770483e+00
-9.794746662839098894e-01 1.170430285557889292e-04 -2.032697587373507758e+03 3.199536568542701964e+00 1.123275393741639538e+00 -1.873363920995250620e+00
-9.791875986794891240e-01 1.175228110468353544e-04 -2.014149444305148791e+03 3.223000638514812888e+00 1.157384393032505621e+00 -1.875031506657712566e+00
-9.789005310750682476e-01 1.179721823107537346e-04 -1.950283356353916588e+03 3.206028103522186701e+00 1.172051073806702925e+00 -1.863890914969363433e+00
-9.786134634706473712e-01 1.182736119158532719e-04 -1.858110323523985244e+03 3.166202704828705361e+00 1.168884103123436491e+00 -1.848325463669851398e+00
