# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998394605875742247e-01 3.823123924790276660e-05 -2.141077419419611488e+03 1.481948731966346022e+00 4.108451921635629112e-01 -1.286089829445582495e+02
-9.995183817627227851e-01 3.868740564738757157e-05 -1.985883527064460168e+03 1.447854097098145720e+00 4.267715613936022834e-01 -1.285658111307471358e+02
-9.991973029378712345e-01 3.751431335864272487e-05 -1.902317685290195641e+03 1.387340188399404317e+00 4.612603808877501765e-01 -1.285036090168375154e+02
-9.988762241130197950e-01 3.356029758323336834e-05 -1.852721947229018497e+03 1.309932480313785508e+00 5.123659379524854174e-01 -1.284278566629132570e+02
-9.985551452881682444e-01 3.017590549305751663e-05 -1.865013938287062047e+03 1.215637017826619592e+00 5.681433790073537882e-01 -1.283375279507329196e+02
-9.982340664633166938e-01 4.404812081324858822e-05 -1.978058653811091745e+03 1.098813488106745506e+00 6.073699729301501593e-01 -1.282347730446926164e+02
-9.979129876384652542e-01 7.594414938205033914e-05 -2.140093351711152991e+03 9.684611117261082702e-01 6.157212896483664766e-01 -1.281348673534163254e+02
-9.975919088136137036e-01 1.093752315432439446e-04 -2.256102034646994070e+03 8.548193104747723314e-01 6.012770418683027751e-01 -1.280580506757420949e+02
-9.972708299887622641e-01 1.339361434447144397e-04 -2.284055634438704146e+03 7.810137773700465136e-01 5.815293308510273151e-01 -1.280176313053836452e+02
-9.969497511639107135e-01 1.477396624356751645e-04 -2.255340617948910676e+03 7.571062724377649600e-01 5.688832906169404291e-01 -1.280185247051355759e+02
-9.966286723390592739e-01 1.532658927657183981e-04 -2.214288525532915628e+03 7.829393820276432381e-01 5.694433295817264984e-01 -1.280608786655951121e+02
-9.963075935142077233e-01 1.530838191301074234e-04 -2.168087411686605265e+03 8.576762072070219789e-01 5.848438152454141781e-01 -1.281411950494667167e+02
-9.959865146893562837e-01 1.492720015574538627e-04 -2.115663736671694551e+03 9.748380175865783981e-01 6.133475062734329297e-01 -1.282463425001959365e+02
-9.956654358645047331e-01 1.414069816212022181e-04 -2.074938396528414160e+03 1.112543819899226127e+00 6.462369470975458663e-01 -1.283552231000854249e+02
-9.953443570396532936e-01 1.260437144219488993e-04 -2.056494238366326499e+03 1.244259100127761197e+00 6.679220672310891560e-01 -1.284507892745960476e+02
-9.950232782148017430e-01 1.021626291057607330e-04 -2.057988139415009300e+03 1.353768204225775262e+00 6.715696184114332556e-01 -1.285263160564780094e+02
-9.947021993899501924e-01 7.261999444473260545e-05 -2.085975977756909742e+03 1.436896731013160622e+00 6.653172407240762753e-01 -1.285812074830548681e+02
-9.943811205650987528e-01 4.321816438370770102e-05 -2.146525749899214134e+03 1.493722492547799874e+00 6.601950284159777693e-01 -1.286174781050558522e+02
-9.940600417402472022e-01 3.029617892802777203e-05 -2.217756760806713828e+03 1.528962635348724675e+00 6.549836230891928901e-01 -1.286398693762954792e+02
-9.937389629153957626e-01 4.674072277078403551e-05 -2.262477826706997803e+03 1.550332219735886641e+00 6.388707400484618937e-01 -1.286534583268670531e+02
-9.934178840905442121e-01 6.688115284160732986e-05 -2.255314120728145554e+03 1.563076328242267277e+00 6.053336755474739705e-01 -1.286619164462294407e+02
-9.930968052656927725e-01 7.932795399767986590e-05 -2.164710707709218696e+03 1.571206640330674809e+00 5.649288751150051135e-01 -1.286701650585587799e+02
-9.927757264408412219e-01 8.228788377054809693e-05 -1.910395262466931172e+03 1.582823097052675987e+00 5.368476920473900238e-01 -1.286863374565446918e+02
-9.924546476159897823e-01 7.690193463895400074e-05 -1.502074869468918678e+03 1.609045100644829640e+00 5.358438391384461319e-01 -1.287161404891446921e+02
-9.921335687911382317e-01 6.514252775783245205e-05 -1.296870761949133112e+03 1.652161169277496677e+00 5.674853199156192352e-01 -1.287551530206294501e+02
-9.918124899662866811e-01 4.671119920833810568e-05 -1.470342781604977290e+03 1.700725612100267181e+00 6.205931670479081230e-01 -1.287886788022514679e+02
-9.914914111414352416e-01 2.115444369524526269e-05 -1.728777079955563067e+03 1.732807061182911834e+00 6.598491419628516041e-01 -1.287987430121658861e+02
-9.911703323165836910e-01 9.156291487389589458e-06 -1.902238941980570416e+03 1.725249746349663882e+00 6.440889297737085739e-01 -1.287710124972354890e+02
-9.908492534917322514e-01 3.692448215397728059e-05 -2.145046419041404533e+03 1.663359811862000770e+00 5.710680106450215510e-01 -1.287085281798178755e+02
-9.905281746668807008e-01 5.755533609557942086e-05 -2.183410689563328106e+03 1.573645849875214608e+00 4.901131262797800980e-01 -1.286882828738639830e+02
