# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998446963814257016e-01 4.445548809193478296e-05 -3.506156915623033456e+03 1.686376426452501187e+00 2.343353266358007558e-01 -6.005514275854163309e+00
-9.995340891442771047e-01 5.619588830775352659e-05 -1.833587018816746422e+03 1.718366494056981386e+00 1.980026748409721427e-01 -6.018978351355792178e+00
-9.992234819071285079e-01 4.779119536205525179e-05 -3.725021442546915750e+03 1.714095451413552906e+00 1.494940449097055535e-01 -6.033260353504670270e+00
-9.989128746699798000e-01 5.246737630185174377e-05 -8.344419950280462217e+03 1.747216461475405769e+00 7.697115135721670220e-02 -7.341378647407782232e+00
-9.986022674328312032e-01 6.754496908668004580e-05 -9.501104523306650663e+03 4.338373393493152541e+00 2.466467893016951671e-02 -8.840762625796145358e+00
-9.982916601956826064e-01 5.714089640810953667e-05 -5.392310546335774234e+03 4.753782709312416976e+00 9.548598312071501781e-02 -9.074077324301963898e+00
-9.979810529585338985e-01 6.735392177833315062e-05 -2.321404258699114507e+03 4.805364110460792482e+00 1.474353572431741921e-01 -9.097752186941839625e+00
-9.976704457213853017e-01 7.526930688456973161e-05 -1.785350451429676468e+03 4.801323569070023112e+00 1.978524417241638578e-01 -9.121250845535858076e+00
-9.973598384842367048e-01 5.818541188990714996e-05 -1.839891949380581991e+03 4.853332230606399733e+00 2.229762901261036767e-01 -9.164428581547486630e+00
-9.970492312470881080e-01 7.003639690073435657e-05 -1.871686426068652509e+03 4.889591323688955882e+00 2.348015868758220048e-01 -9.178895886202646182e+00
-9.967386240099394001e-01 6.277510919028011659e-05 -1.781800039146205108e+03 4.882983159467821466e+00 2.558522560382329170e-01 -9.187999203972974982e+00
-9.964280167727908033e-01 5.684630129847730826e-05 -1.820800930336840793e+03 4.908445485122942209e+00 2.641189997781290821e-01 -9.202744625167195380e+00
-9.961174095356422065e-01 6.662111689340594989e-05 -1.836558922147440853e+03 4.913477342718876706e+00 2.613956033353437292e-01 -9.186409134890570982e+00
-9.958068022984936096e-01 5.345509377050601079e-05 -1.784072655255057953e+03 4.874629338134541356e+00 2.633512142281194124e-01 -9.159709854506211002e+00
-9.954961950613449018e-01 6.596934827603713795e-05 -1.892892181332165592e+03 4.858192430200135803e+00 2.489307600849774982e-01 -9.130050533774387134e+00
-9.951855878241963049e-01 6.508850242379123497e-05 -1.985096336136062746e+03 4.813362171882474172e+00 2.177909187539336378e-01 -9.049143907733277814e+00
-9.948749805870477081e-01 6.148568028727654188e-05 -2.041754533942980515e+03 4.692133584080675490e+00 1.807064861222502372e-01 -8.929553391479277735e+00
-9.945643733498991113e-01 7.561115973549818975e-05 -2.831971931431929079e+03 4.569317557584890110e+00 1.279418565250451112e-01 -8.749043045247610451e+00
-9.942537661127504034e-01 6.615453507325723078e-05 -3.616410402375918238e+03 4.327133607484483058e+00 7.261969856912245391e-02 -8.203729874697415880e+00
-9.939431588756018066e-01 6.883165043739295722e-05 -2.433467263149357677e+03 3.474464410932118330e+00 4.084576065687655494e-02 -7.262412141892078843e+00
-9.936325516384532097e-01 7.111660477646382741e-05 -3.773223585074411517e+02 2.441389143572123999e+00 3.795416161525615867e-02 -6.442115698893352338e+00
-9.933219444013046129e-01 6.092486573095563449e-05 -2.163366992833836093e+02 1.832571411736276579e+00 5.792939367247563337e-02 -6.068910076386011987e+00
-9.930113371641559050e-01 6.024815205815797227e-05 -1.408037650434449915e+03 1.694307515492785354e+00 8.427407924332605549e-02 -5.888372747684882391e+00
-9.927007299270073082e-01 5.791386078759494299e-05 -1.621931184717763244e+03 1.470470436574665474e+00 9.430853355240575997e-02 -5.681964319152453591e+00
-9.923901226898587113e-01 4.902121193708350094e-05 -1.496165588544313323e+03 1.279849195770743853e+00 1.097387562617884033e-01 -5.584894784817653779e+00
-9.920795154527101145e-01 4.576322653398359714e-05 -2.010073281274632109e+03 1.275457878973683679e+00 1.199655798861145178e-01 -5.511954266587635765e+00
-9.917689082155614066e-01 4.571003734589458676e-05 -1.911190640365428180e+03 1.132917270244132357e+00 1.233385529541169423e-01 -5.334265138006416329e+00
-9.914583009784128098e-01 3.676771957034792300e-05 -1.690700352820468197e+03 9.174180948333343633e-01 1.304122299037804300e-01 -5.202702936640824838e+00
-9.911476937412642130e-01 3.663683871882033330e-05 -2.240635183107294779e+03 8.677339150502045850e-01 1.218546298739574818e-01 -5.041873065937750198e+00
-9.908370865041156161e-01 3.867267338968952107e-05 -2.080910365227842249e+03 5.933015118979971803e-01 1.187773066443473663e-01 -4.708307290070574247e+00
-9.905264792669669083e-01 2.864506526302688341e-05 -1.429665830519469637e+03 1.957664950660741865e-01 1.426234017781618513e-01 -4.418947768395681486e+00
-9.902158720298183114e-01 3.702342755632111854e-05 -1.450894094647123893e+03 9.894290893788276059e-03 1.338150042770598069e-01 -4.235207531941274084e+00
-9.899052647926697146e-01 3.594305015186550752e-05 -1.497850807179656158e+03 -1.752564537509421760e-01 1.405524671501414691e-01 -4.111956537192674510e+00
-9.895946575555211178e-01 3.208965717824058858e-05 -1.345182663908140057e+03 -2.388904336795683037e-01 1.588274047899085883e-01 -4.102566570164536408e+00
-9.892840503183724099e-01 5.166503570028042669e-05 -6.501493831563161621e+02 -1.941001416813427083e-01 1.174672496451639458e-01 -4.254387218398830051e+00
-9.889734430812238131e-01 4.743065977483039609e-05 -1.458931643853880473e+02 6.711474194708252905e-02 7.180517342551044624e-02 -4.872758363151374006e+00
-9.886628358440752162e-01 4.735869063296198903e-05 -1.889938458105571499e+03 1.046967236604471108e+00 5.354666463328928289e-02 -5.877369884501901787e+00
-9.883522286069265084e-01 8.106445051715301087e-05 -3.702582469657090314e+03 2.080343869045031102e+00 1.026492601910510699e-01 -6.536784399137540724e+00
-9.880416213697779115e-01 5.375320398388198949e-05 -2.988665605822617636e+03 2.368795740166846020e+00 1.918506600692092834e-01 -6.726973430636529194e+00
-9.877310141326293147e-01 6.850404444686991102e-05 -1.856482297250567626e+03 2.463986753852158262e+00 2.756611296901186337e-01 -6.811594568787849191e+00
-9.874204068954807179e-01 9.390669297582093713e-05 -1.664874098272209267e+03 2.542758472211363863e+00 3.529555244676896852e-01 -6.869049805625704330e+00
-9.871097996583320100e-01 4.302675691200602478e-05 -1.715898934702908264e+03 2.584440712206684143e+00 4.344306966079317101e-01 -6.900283745960535065e+00
-9.867991924211834132e-01 9.121685006591556926e-05 -1.805664895143014292e+03 2.610187468752055207e+00 5.174397598297745260e-01 -6.913741764663234868e+00
-9.864885851840348163e-01 8.673780624719424433e-05 -1.880468583870444490e+03 2.614284752532906708e+00 5.974142927514599632e-01 -6.901371283595028494e+00
-9.861779779468862195e-01 5.338200761684300651e-05 -1.874440904401756825e+03 2.580053851691217925e+00 6.689208113885447560e-01 -6.873109864348644571e+00
-9.858673707097375116e-01 1.049687604514497373e-04 -1.838930613458224798e+03 2.544080257403354750e+00 7.357607608183733827e-01 -6.841392959315650835e+00
-9.855567634725889148e-01 8.123792289589097020e-05 -1.851852870768857429e+03 2.496580098732026354e+00 7.380032551119395379e-01 -6.824368996549758926e+00
-9.852461562354403179e-01 8.100868321044730352e-05 -1.939643253167321518e+03 2.498154698693472842e+00 6.727294941800537886e-01 -6.831348173524840028e+00
-9.849355489982917211e-01 1.258762929110788815e-04 -1.854925005882526875e+03 2.514512012172071209e+00 5.471474405702609900e-01 -6.851856172775618425e+00
-9.846249417611430133e-01 9.019863601657277473e-05 -1.592664297659694057e+03 2.547559034022978786e+00 4.165500052180571289e-01 -6.916000160313470424e+00
-9.843143345239944164e-01 9.994351455738366917e-05 -1.415772646923648608e+03 2.656981105540123789e+00 3.285836045740084255e-01 -7.027168640823872714e+00
-9.840037272868458196e-01 1.268720556896864922e-04 -1.422949586862178876e+03 2.786163877099764541e+00 2.943375274576762179e-01 -7.179191522800940639e+00
-9.836931200496972227e-01 8.990108518935424706e-05 -1.874337966733487974e+03 2.976106677915488774e+00 2.876339196403146503e-01 -7.344998858405790365e+00
-9.833825128125485149e-01 1.231737326110807359e-04 -3.105065411664198564e+03 3.132366631961025938e+00 4.154542670738167742e-01 -7.355944485226456386e+00
-9.830719055753999180e-01 5.172224472698642821e-05 -2.867517017920031776e+03 2.992521217538480993e+00 1.826475513379611115e+00 -7.297795835413011467e+00
-9.827612983382513212e-01 4.073055199569338092e-05 -1.749711451004478704e+03 2.946448555879522591e+00 1.864808471777178012e+00 -7.314304238325230578e+00
-9.824506911011027244e-01 2.953733541628268859e-05 -1.774321839944159819e+03 2.872724212864103066e+00 1.915242798048992112e+00 -7.342027418558290996e+00
