# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 2.856113790892483959e-04 -2.874073472133691212e+03 2.445967612033329297e-01 5.647299686683566744e-01 -2.746686089705590916e+01
-9.996928746928747112e-01 2.858610533748525990e-04 -2.122250799926146556e+03 2.554112516408135192e-01 5.680757010521231276e-01 -2.749728755096288779e+01
-9.993857493857493113e-01 3.046946860130511007e-04 -1.932412860186938360e+03 3.167656569913694931e-01 6.242556780799486393e-01 -2.757019992561849975e+01
-9.990786240786240224e-01 2.982636098898040246e-04 -1.974018002789931870e+03 4.327466603704336889e-01 7.572905222087472632e-01 -2.766431570936544659e+01
-9.987714987714987336e-01 2.568714635177746599e-04 -1.963861327459889253e+03 5.622702215989922037e-01 8.856682484293103563e-01 -2.774492910230289056e+01
-9.984643734643734447e-01 2.332841376405521655e-04 -1.888944506115208924e+03 6.683147336934142091e-01 9.606704929021265826e-01 -2.779361566879651946e+01
-9.981572481572481559e-01 2.126460136568994875e-04 -1.814567559959377377e+03 7.211466151392845747e-01 9.727875119086363265e-01 -2.781496123283852739e+01
-9.978501228501228670e-01 1.820567167345833520e-04 -1.710924862732388192e+03 7.432071099100738820e-01 9.392295951792392072e-01 -2.782351947007001414e+01
-9.975429975429974672e-01 1.974675047044856951e-04 -1.612557998851154480e+03 7.511616854702869439e-01 8.780924384238353309e-01 -2.782576445516339803e+01
-9.972358722358721783e-01 2.290719453889612236e-04 -1.548556634320445255e+03 7.508383465945187574e-01 8.058712590978278634e-01 -2.782653426193138557e+01
-9.969287469287468895e-01 2.340764802968237426e-04 -1.464616380884791852e+03 7.533598589283285740e-01 7.288039878678406192e-01 -2.783500066913639159e+01
-9.966216216216216006e-01 2.585441378402247858e-04 -1.294470849469815676e+03 7.737181582478185327e-01 6.331744592600341281e-01 -2.786398459492784241e+01
-9.963144963144963118e-01 2.838150909992965100e-04 -1.351273783042065133e+03 8.267864090127722276e-01 5.073845619299952592e-01 -2.794740857393014366e+01
-9.960073710073710229e-01 2.614564747564511373e-04 -1.016712124954527098e+03 9.687363131758722767e-01 3.478454238004600185e-01 -2.831486380003037695e+01
-9.957002457002456230e-01 2.069563028072037654e-04 1.518456979116400589e+03 1.618494394789399715e+00 1.716291297266159532e-01 -2.928350026073511714e+01
-9.953931203931203342e-01 1.164356867310644490e-04 7.909375151431265749e+01 2.964702384898791010e+00 2.452351146526307590e-01 -3.008196147075284088e+01
-9.950859950859950454e-01 2.659543067604632448e-05 -2.708662672438766549e+03 3.243538211940148575e+00 4.248850336683565043e-01 -3.023233626657644990e+01
