# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-1.000000000000000000e+00 6.131320645878130546e-05 1.957777154871653238e+03 1.797745942640014194e+00 1.517380620880456998e+00 2.935858574528282361e+01
-9.996719160104986512e-01 6.385669265352921181e-05 1.427085601358294298e+01 1.786658379526498974e+00 1.510729513236588106e+00 2.935984065945510579e+01
-9.993438320209974135e-01 6.763845903355226335e-05 -1.519623860658899048e+03 1.754710393870698049e+00 1.491721500586295601e+00 2.939233569351585018e+01
-9.990157480314960647e-01 6.266398168694019971e-05 -2.502402138688416926e+03 9.562516536568865799e-01 1.226433483615268605e+00 2.953116687262068751e+01
-9.986876640419947160e-01 9.307470139235535244e-05 -2.279500934075764235e+03 3.206116670307400662e-01 1.178466218599518278e+00 2.964929222173259049e+01
-9.983595800524934782e-01 9.880952036024238526e-05 -1.418843086530710480e+03 2.639594583104739600e-01 1.180381706222648708e+00 2.966788714701969099e+01
-9.980314960629921295e-01 1.031374365657245553e-04 -1.024030010032651717e+03 2.231542815604364294e-01 1.191057222837243801e+00 2.968693936336178041e+01
-9.977034120734907807e-01 1.061176028034125740e-04 -9.762687998981496094e+02 1.622520433737268120e-01 1.206065709189006352e+00 2.971854848808216687e+01
-9.973753280839894320e-01 1.091386351047856409e-04 -5.781294846209174239e+02 4.830926944965118625e-02 1.259828004229910814e+00 2.972368324807199613e+01
-9.970472440944881942e-01 1.076420310284162700e-04 1.016122999367098146e+03 1.475756714850093299e-01 1.465234008713938829e+00 2.973413316463954104e+01
-9.967191601049868455e-01 9.910421336304431935e-05 1.043975300728318871e+03 -3.390447809286019076e-01 1.778106358114557306e+00 2.974831997837746300e+01
-9.963910761154854967e-01 9.059214338478595362e-05 -2.220259734427841067e+02 -4.503016267794678340e-01 1.846475807808388048e+00 2.972842729520927918e+01
-9.960629921259842590e-01 8.173774747681607298e-05 -3.742620681902553770e+02 -5.123350963681152503e-01 1.805401413466108496e+00 2.971686289915062673e+01
-9.957349081364829102e-01 7.439168148522653991e-05 -4.500974449948730580e+02 -5.391924477529566051e-01 1.739552987778233639e+00 2.971372444992794470e+01
-9.954068241469815614e-01 6.794361232234938321e-05 -5.300621368840911600e+02 -5.393929032093180975e-01 1.677831057794941128e+00 2.971462483068763660e+01
-9.950787401574803237e-01 6.286516010683573677e-05 -6.005482441074641429e+02 -5.222214980332170464e-01 1.621132840654373686e+00 2.971621851940498615e+01
-9.947506561679789749e-01 6.076092332606216094e-05 -6.632390186754296337e+02 -4.953320798963495308e-01 1.569810876432226054e+00 2.971687944975913709e+01
-9.944225721784776262e-01 6.036065142271922478e-05 -7.244841418880509991e+02 -4.637857375287013362e-01 1.529988641902490842e+00 2.971618449338940593e+01
-9.940944881889763884e-01 6.079883806167636726e-05 -7.884816739783418598e+02 -4.304782220109774626e-01 1.499996194550080597e+00 2.971424981493510487e+01
-9.937664041994750397e-01 6.314256415686065834e-05 -6.924627938378787348e+02 -3.949891618568827645e-01 1.480423306846433196e+00 2.971099530982682424e+01
-9.934383202099736909e-01 6.793292117448526907e-05 -2.085703469705306361e+03 -3.506847148529725344e-01 1.478073741314666512e+00 2.978433368776973822e+01
-9.931102362204724532e-01 9.649722970416318274e-05 -2.750390426365145231e+03 -1.978026694783743711e+00 1.403604498339539486e+00 2.985688704608141819e+01
-9.927821522309711044e-01 9.925550668345834403e-05 -1.533390719062068456e+03 -1.944564857779842670e+00 1.437257353174334451e+00 2.985366107679694636e+01
-9.924540682414697557e-01 1.004362284117552880e-04 -1.158849989359934398e+03 -1.937929703410511184e+00 1.460263929632558799e+00 2.985391169549190238e+01
-9.921259842519685179e-01 1.029353867268815596e-04 -1.143371491153113311e+03 -1.950482416889878445e+00 1.484019810285083230e+00 2.985690950801544119e+01
-9.917979002624671692e-01 1.100656447352643197e-04 -1.221346402119010691e+03 -2.003685278812991299e+00 1.521172984453934118e+00 2.986323859995852104e+01
-9.914698162729658204e-01 1.260660663638049769e-04 -1.578102942672854397e+03 -2.165917810656729170e+00 1.592564340802257394e+00 2.986319281169262396e+01
-9.911417322834645827e-01 1.452994428529895692e-04 -1.730061285706037552e+03 -2.539835071024800772e+00 1.688674571052422024e+00 2.984068515884553818e+01
-9.908136482939632339e-01 1.377426819145383151e-04 -1.243979888075450390e+03 -2.853396345939142709e+00 1.686222993233228884e+00 2.981387071201820760e+01
-9.904855643044618851e-01 1.308675127719920281e-04 -7.635394625580278216e+02 -2.998853537893982679e+00 1.589500945258176090e+00 2.980379310011879568e+01
-9.901574803149606474e-01 1.165584271212765976e-04 -5.110322745174581769e+02 -3.180789400689143065e+00 1.425389646294163537e+00 2.980364518123723272e+01
-9.898293963254592986e-01 1.103616418942054549e-04 -3.771186793742931513e+02 -3.202232572229133822e+00 1.245111449737525966e+00 2.981981024189706631e+01
-9.895013123359579499e-01 9.609160607949354378e-05 -4.451183859776260761e+02 -3.293566874865049510e+00 1.113125168328807701e+00 2.985195148117053776e+01
-9.891732283464567121e-01 8.275724713322404869e-05 -5.407388768634677945e+02 -3.372911804863371721e+00 1.042494174322041944e+00 2.988682980433756953e+01
