# f,        fd_amp,        fd_dphi,        fd_alpha,        fd_beta,        fd_gamma
-9.998305371970851452e-01 1.436053736947183088e-04 -1.042634833102852554e+03 -2.646340152874903318e+00 2.642849679091015425e+00 1.034434563767860915e-01
-9.994916115912556576e-01 1.484206815165896819e-04 -1.120290745170378159e+03 -2.664793662120431339e+00 2.634414187113919947e+00 7.680262685170591297e-02
-9.991526859854261700e-01 1.528798259324144456e-04 -1.130859444330314545e+03 -2.707209050251794924e+00 2.621382306709848731e+00 3.894205385402260688e-02
-9.988137603795966823e-01 1.576550626349565551e-04 -1.142082010605841788e+03 -2.751745665342596681e+00 2.607025669176652460e+00 -1.175085686113375161e-02
-9.984748347737670837e-01 1.595376023289766675e-04 -1.120147263480189849e+03 -2.824658538356053405e+00 2.581778929345256657e+00 -7.767417991732594729e-02
-9.981359091679375961e-01 1.608041072517455035e-04 -1.066066603699987354e+03 -2.906213466069376139e+00 2.549995323233135824e+00 -1.308504289738645632e-01
-9.977969835621081085e-01 1.621116092723225827e-04 -1.047076943377597217e+03 -2.951086134889297163e+00 2.526448427775661365e+00 -1.613477925223443243e-01
-9.974580579562785099e-01 1.629843665005006534e-04 -1.034021563523457189e+03 -2.980164634893521125e+00 2.509761872051383680e+00 -1.733986018008013552e-01
-9.971191323504490223e-01 1.655442177005817905e-04 -1.022610980596880268e+03 -2.980602695347237319e+00 2.505865733591769118e+00 -1.605540291680189746e-01
-9.967802067446195347e-01 1.688288583667722092e-04 -1.037555618064146074e+03 -2.948237131052113380e+00 2.513878343916094771e+00 -1.257737642608520723e-01
-9.964412811387900470e-01 1.736112003809250708e-04 -1.063569017802838971e+03 -2.894469651087051343e+00 2.529377935687949996e+00 -6.922221128126659906e-02
-9.961023555329604484e-01 1.783581719001393754e-04 -1.110773499636723500e+03 -2.809441369058863103e+00 2.553951733452572981e+00 3.986843357600466931e-03
-9.957634299271309608e-01 1.827395231093239104e-04 -1.156349729547870538e+03 -2.717121974494814740e+00 2.579691115625300846e+00 7.506200792252171183e-02
-9.954245043213014732e-01 1.846068175521347699e-04 -1.175632477006833142e+03 -2.639936823445551362e+00 2.603970991539571234e+00 1.291074108517134000e-01
-9.950855787154718746e-01 1.841839292479838534e-04 -1.178659299561767966e+03 -2.590138329491418201e+00 2.624678656511951758e+00 1.548679911239969620e-01
-9.947466531096423870e-01 1.827301148572129676e-04 -1.169662478670614746e+03 -2.580075864803456298e+00 2.641802954707094919e+00 1.497602089583787155e-01
-9.944077275038128994e-01 1.782354530345407664e-04 -1.164507867014798649e+03 -2.601682007547004183e+00 2.654958260317425545e+00 1.173642163089678725e-01
-9.940688018979833007e-01 1.735507763171506362e-04 -1.162289252433376987e+03 -2.653529525819970480e+00 2.662812201750140328e+00 6.208020158434690572e-02
